;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;10;Recursos florestais;Zootecnia;;
1;11;Solos;;;
2;12;Legislação aplicada;Fitossanidade;;
3;13;Fitossanidade;;;
4;14;Genética e melhoramento;Fitossanidade;;
5;15;Agroecologia e agricultura orgânica;Fitotecnia;;
6;16;Solos;Fisiologia vegetal e animal;;
7;17;Fitotecnia;Fisiologia vegetal e animal;;
8;18;Legislação aplicada;Fitossanidade;;
9;19;Tecnologia e processamento de produtos agropecuários;Sistemas agroindustriais;;
10;20;Fitotecnia;Engenharia rural;;
11;21;Agroecologia e agricultura orgânica;Fitotecnia;;
12;22;Tecnologia e processamento de produtos agropecuários;Fisiologia vegetal e animal;;
13;23;Zootecnia;;;
14;24;Fitossanidade;Fitotecnia;;
15;25;Genética e melhoramento;Extensão e desenvolvimento rural;;
16;26;Metodologia científica e experimentação agrícola;Fitotecnia;;
17;27;Extensão e desenvolvimento rural;;;
18;28;Engenharia rural;;;
19;29;Fitossanidade;Ecologia e manejo ambiental;;
20;30;Zootecnia;;;
21;31;Fitotecnia;;;
22;32;Engenharia rural;;;
23;33;Economia e administração;;;
24;34;Engenharia rural;;;
25;35;Recursos florestais;Fitotecnia;;
26;36;Legislação aplicada;;;
27;37;Solos;;;
28;38;Engenharia rural;;;
