;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;10;Estética e História das Artes;;;
1;11;Desenho e Meios de representação e expressão;;;
2;12;Estudos sociais, econômicos e ambientais;;;
3;13;Sustentabilidade;;;
4;14;Políticas públicas e habitacionais;;;
5;15;Planejamento urbano e regional;;;
6;16;Teoria e História da Arquitetura, do Urbanismo e do Paisagismo;;;
7;17;Projeto de arquitetura;;;
8;18;Projeto de arquitetura;;;
9;19;Projeto de Urbanismo;;;
10;20;Projeto de Paisagismo;;;
11;21;Políticas públicas e habitacionais;;;
12;22;Projeto de Arquitetura de Interiores;;;
13;23;Tecnologia da construção;;;
14;24;Tecnologia da construção;;;
15;25;Infraestrutura urbana;;;
16;26;Sistemas estruturais;;;
17;27;Gestão e coordenação de projetos;;;
18;28;Gestão e coordenação de obras;;;
19;29;Conforto ambiental e eficiência energética;;;
20;30;Mobilidade urbana;;;
21;31;Teoria e História da Arquitetura, do Urbanismo e do Paisagismo;;;
22;32;Desenho universal e acessibilidade;;;
23;33;Desenho universal e acessibilidade;;;
24;34;Patrimônio cultural e técnicas retrospectivas;;;
25;35;Informática aplicada a Arquitetura e Urbanismo;;;
26;36;Gestão e coordenação de projetos;Informática aplicada a arquitetura e urbanismo;;
27;37;Topografia;;;
28;38;Estudos sociais, econômicos e ambientais;Projeto de arquitetura;;
