;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;10;Saúde pública, epidemiologia e educação em saúde;Farmacologia;;
1;11;Análises clínicas;;;
2;12;Farmácia comunitária;Farmacologia;;
3;13;Tecnologia de medicamentos, cosméticos e outros produtos para saúde;;;
4;14;Farmácia clínica;;;
5;15;Genética, biologia molecular e biotecnologia;;;
6;16;Saúde pública, epidemiologia e educação em saúde;;;
7;17;Farmacoepidemiologia e farmacovigilância;;;
8;18;Tecnologia de medicamentos, cosméticos e outros produtos para saúde;;;
9;19;Controle físicoquímico, biológico e microbiológico e garantia da qualidade;;;
10;20;Tecnologia de medicamentos, cosméticos e outros produtos para saúde;;;
11;21;Farmácia magistral alopática e homeopática;;;
12;22;Tecnologia de medicamentos, cosméticos e outros produtos para saúde;Farmácia magistral alopática e homeopática;;
13;23;Tecnologia de medicamentos, cosméticos e outros produtos para saúde;;;
14;24;Farmacognosia e fitoterapia;;;
15;25;Farmacognosia e fitoterapia;;;
16;26;Química farmacêutica e medicinal;;;
17;27;Farmácia clínica;;;
18;28;Farmacologia;;;
19;29;Farmácia comunitária;Legislação sanitária e profissional;;
20;30;Tecnologia de medicamentos, cosméticos e outros produtos para saúde;Farmácia magistral alopática e homeopática;;
21;31;Toxicologia e análises toxicológicas;;;
22;32;Processos fisiológicos, patológicos,fisiopatológicos e bioquímicos;;;
23;33;Química farmacêutica e medicinal ;Tecnologia de medicamentos, cosméticos e outros produtos para saúde;;
24;34;Assistência farmacêutica;;;
25;35;Gestão farmacêutica e farmacoeconomia;;;
26;36;Serviços farmacêuticos;Farmácia comunitária;;
27;37; Serviços farmacêuticos;Segurança do paciente e biossegurança;;
28;38;Farmacologia;;;
