;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;10;Métodos de avaliação fisioterapêutica;Exames complementares;;
1;11;Funcionalidade humana;;;
2;12;Funcionalidade humana;;;
3;13;Funcionalidade humana;;;
4;14;Anatomia, fisiologia e patologia de órgãos e sistemas;;;
5;15;Cinesiologia e biomecânica ;Métodos de avaliação fisioterapêutica;;
6;16;Gestão de serviços de saúde ;Acessibilidade e tecnologia assistiva;;
7;17;Cinesiologia e biomecânica ;Métodos de avaliação fisioterapêutica;;
8;18;Cinesiologia e biomecânica ;;;
9;19;Anatomia, fisiologia e patologia de órgãos e sistemas;;;
10;20;Níveis de atenção à saúde;;;
11;21;Níveis de atenção à saúde ;Funcionalidade humana;;
12;22;Recursos e intervenções em fisioterapia;;;
13;23;Métodos de avaliação fisioterapêutica;;;
14;24;Determinantes do processo de saúdedoença;Funcionalidade humana;;
15;25;Métodos de avaliação fisioterapêutica;Cinesiologia e biomecânica;;
16;26;Recursos e intervenções em fisioterapia;;;
17;27;Recursos e intervenções em fisioterapia;;;
18;28;Recursos e intervenções em fisioterapia;;;
19;29; Cinesiologia e biomecânica;;;
20;30;Anatomia, fisiologia e patologia de órgãos e sistemas;;;
21;31;Cinesiologia e biomecânica ;Funcionalidade humana;;
22;32;Métodos de avaliação fisioterapêutica ;Recursos e intervenções em fisioterapia;;
23;33;Níveis de atenção à saúde;Funcionalidade humana;;
24;34;Recursos e intervenções em fisioterapia ;Exames complementares;;
25;35;Funcionalidade humana;;;
26;36;Métodos de avaliação fisioterapêutica ;Recursos e intervenções em fisioterapia;;
27;37;Níveis de atenção à saúde;Recursos e intervenções em fisioterapia;;
28;38;Métodos de avaliação fisioterapêutica ;Funcionalidade humana;;
