;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;10;Morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia;Medicina veterinária preventiva e saúde pública;;
1;11;Morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia;Clínica e cirurgia veterinária;;
2;12;Morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia;Ecologia, meio ambiente e sustentabilidade;;
3;13;Morfofisiologia, genética, bioquímica, biofísica,microbiologia, imunologia, arasitologia e farmacologia;;;
4;14;Morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia;Clínica e cirurgia veterinária;;
5;15;Administração, economia, agronegócio e empreendedorismo;Ecologia, meio ambiente e sustentabilidade;;
6;16;Morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia;Medicina veterinária preventiva e saúde pública;;
7;17;Morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia;Clínica e cirurgia veterinária;;
8;18;Medicina veterinária preventiva e saúde pública;;;
9;19;Medicina veterinária preventiva e saúde pública;;;
10;20;Clínica e cirurgia veterinária;;;
11;21;Administração, economia, agronegócio e empreendedorismo;Sanidade e produção animal;;
12;22;Tecnologia e inspeção dos produtos de origem animal;Medicina veterinária preventiva e saúde pública;;
13;23;Etologia e bemestar animal;Ecologia, meio ambiente e sustentabilidade;;
14;24;Sanidade e produção animal;Medicina veterinária preventiva e saúde pública;;
15;25;Morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia;Administração, economia, agronegócio e empreendedorismo;Ecologia, meio ambiente e sustentabilidade;
16;26;Administração, economia, agronegócio e empreendedorismo;Sanidade e produção animal;;
17;27;Morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia;Clínica e cirurgia veterinária;;
18;28;Clínica e cirurgia veterinária;;;
19;29;Morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia;Clínica e cirurgia veterinária;Sanidade e produção animal;
20;30;Morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia;Clínica e cirurgia veterinária;;
21;31;Clínica e cirurgia veterinária;Medicina veterinária preventiva e saúde pública;Sanidade e produção animal;
22;32;Clínica e cirurgia veterinária;Etologia e bemestar animal;;
23;33;Sanidade e produção animal;Reprodução animal;;
24;34;Ciências humanas e sociais, ética e legislação veterinária;Tecnologia e inspeção dos produtos de origem animal;Medicina veterinária preventiva e saúde pública;
25;35;Ciências humanas e sociais, ética e legislação veterinária;;;
26;36;Tecnologia e inspeção dos produtos de origem animal;Medicina veterinária preventiva e saúde pública;;
27;37;Sanidade e produção animal;Reprodução animal;;
28;38;Medicina veterinária preventiva e saúde pública;;;
