;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Teorias clássicas da antropologia;;;True
1;10;Teorias contemporâneas da ciência política;;;True
2;11;Teorias clássicas da sociologia;;;True
3;12;Teorias contemporâneas da sociologia;;;True
4;13;Teorias clássicas da ciência política;;;False
5;14;Teorias contemporâneas da antropologia;;;True
6;15;Métodos e técnicas de pesquisa qualitativos em Ciências Sociais;;;True
7;16;Teorias contemporâneas da antropologia;Métodos e técnicas de pesquisa qualitativos em Ciências Sociais;;True
8;17;Métodos e técnicas de pesquisa quantitativos em Ciências Sociais;;;True
9;18;Métodos e técnicas de pesquisa quantitativos em Ciências Sociais;Teorias clássicas da sociologia;;True
10;19;Teorias clássicas da ciência política;Teorias contemporâneas da ciência política;;True
11;20;Teorias clássicas da ciência política;Teorias clássicas da sociologia;;True
12;21;Teorias contemporâneas da sociologia;;;True
13;22;Teorias contemporâneas da antropologia;Teorias contemporâneas da sociologia;;True
14;23;Teorias contemporâneas da antropologia;Métodos e técnicas de pesquisa qualitativos em Ciências Sociais;;True
15;24;Formação e pensamento cultural, social e político brasileiros;;;True
16;25;Teorias clássicas da sociologia;;;True
17;26;Métodos e técnicas de ensino de Ciências Sociais;;;True
18;27;Teorias clássicas da antropologia;;;True
19;28;Temáticas contemporâneas das Ciências Sociais;;;True
20;29;Teorias clássicas da antropologia;;;True
21;30;Teorias clássicas da sociologia;;;False
22;31;Gestão democrática educacional;;;True
23;32;Planejamento, organização e gestão escolar e em outros espaços educativos;Políticas, organização e financiamento da educação brasileira;;True
24;33;Teorias pedagógicas;Psicologia da Educação (aprendizagem e desenvolvimento);;False
25;34;Coordenação, elaboração e avaliação de projeto político-pedagógico;Planejamento, organização e gestão escolar e em outros espaços educativos;;True
26;35;Educação inclusiva e diversidade;;;True
