;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Abordagens pedagógicas da Educação Física;Aspectos didático-pedagógicos da Educação Física;;True
1;10;;;;False
2;11;Educação Física inclusiva e adaptada;Aspectos didáticopedagógicos da Educação Física;;True
3;12;Aspectos didáticopedagógicos da Educação Física;Educação Física na contemporaneidade: mídia, meio ambiente e diversidade;;True
4;13;Educação Física, qualidade de vida e saúde;;;False
5;14;Manifestações do movimento humano: esporte, jogo, ginástica, lutas, atividades rítmicas e expressivas;Aspectos sócio-históricos e antropológicos da Educação Física;;True
6;15;Educação Física na contemporaneidade: mídia, meio ambiente e diversidade;;;True
7;16;Aspectos sócio-históricos e antropológicos da Educação Física;Aspectos didático-pedagógicos da Educação Física;Educação Física na contemporaneidade: mídia, meio ambiente e diversidade;True
8;17;Manifestações do movimento humano: esporte, jogo, ginástica, lutas, atividades rítmicas e expressivas;Ludicidade, lazer, corpo e movimento;;True
9;18;Ludicidade, lazer, corpo e movimento;Manifestações do movimento humano: esporte, jogo, ginástica, lutas, atividades rítmicas e expressivas;;True
10;19;Aspectos didático-pedagógicos da Educação Física;Educação Física inclusiva e adaptada;;True
11;20;Métodos e técnicas de pesquisa em Educação Física;;;True
12;21;Educação Física, qualidade de vida e saúde;;;True
13;22;Aspectos didático-pedagógicos da Educação Física;;;True
14;23;Aspectos psicológicos na Educação Física;Aspectos didático-pedagógicos da Educação Física;;True
15;24;"Aspectos sócio-históricos e antropológicos da Educação Física; OC 08: Aspectos psicológicos na Educação Física";;;False
16;25;Cineantropometria aplicada à educação física escolar;Aspectos morfofuncionais do movimento humano;Cinesiologia aplicada a Educação Física;False
17;26;Processo ensino-aprendizagem e suas dimensões conceituais, procedimentais e atitudinais na educação física escolar;;;True
18;27;Desenvolvimento e aprendizagem motora;Ludicidade, lazer, corpo e movimento;;True
19;28;Educação Física, qualidade de vida e saúde;;;True
20;29;Aspectos didático-pedagógicos da Educação Física;Ludicidade, lazer, corpo e movimento;;True
21;30;Aspectos didáticopedagógicos da Educação Física;Aspectos filosóficos da Educação Física;;True
22;31;Gestão democrática educacional;;;True
23;32;Planejamento, organização e gestão escolar e em outros espaços educativos;Políticas, organização e financiamento da educação brasileira;;True
24;33;Teorias pedagógicas;Psicologia da Educação (aprendizagem e desenvolvimento);;False
25;34;Coordenação, elaboração e avaliação de projeto político-pedagógico;Planejamento, organização e gestão escolar e em outros espaços educativos;;True
26;35;Educação inclusiva e diversidade;;;True
