;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Filosofia da Natureza na Filosofia Antiga;;;True
1;10;Ética na Filosofia Antiga;;;True
2;11;Metafísica na Filosofia Antiga;;;True
3;12;Estética;;;True
4;13;Metafísica na Filosofia Medieval;;;True
5;14;Filosofia da Linguagem na Filosofia Medieval;;;True
6;15;Filosofia Política na Filosofia Moderna;;;True
7;16;Ética na Filosofia Moderna;;;True
8;17;Metafísica na Filosofia Moderna;;;True
9;18;Filosofia Analítica na Filosofia Contemporânea;;;True
10;19;Existencialismo na Filosofia Contemporânea;;;True
11;20;Filosofia da Linguagem na Filosofia Contemporânea;;;True
12;21;Epistemologia na Filosofia Contemporânea;;;True
13;22;Ética na Filosofia Contemporânea;;;True
14;23;Filosofia Política na Filosofia Contemporânea;;;True
15;24;Lógica;;;True
16;25;Filosofia da História;;;True
17;26;Filosofia da Arte;;;True
18;27;Metafísica na Filosofia Moderna;;;True
19;28;Filosofia Política na Filosofia Contemporânea;;;True
20;29;Filosofia Política na Filosofia Moderna;;;True
21;30;Ética na Filosofia Medieval;;;True
22;31;Teoria do Conhecimento na Filosofia Moderna;;;True
23;32;Filosofia da Ciência na Filosofia Contemporânea;;;True
24;33;Filosofia da Linguagem na Filosofia Contemporânea;;;True
25;34;Fenomenologia na Filosofia Contemporânea;;;True
26;35;Crítica da Metafísica na Filosofia Contemporânea;;;True
