;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Transformações espaciais no campo e na cidade;Urbanização no Brasil e no mundo;;True
1;10;Produção do espaço e mudanças no mundo do trabalho;;;True
2;11;Pressupostos teóricos que fundamentam as categorias: Espaço, Região, Paisagem, Território e Lugar;;;True
3;12;Geopolítica e redefinições territoriais;;;True
4;13;Interações espaciais, fluxos e formação de redes;Urbanização no Brasil e no mundo;;True
5;14;Cartografia sistemática e temática na pesquisa e no ensino;Dinâmica populacional no Brasil e no mundo;;True
6;15;Transformações espaciais no campo e na cidade;Estado, movimentos sociais e organização do território;;True
7;16;Diversidade étnico-racial, de gênero e cultural na Geografia;;;True
8;17;Urbanização no Brasil e no mundo;Estado, movimentos sociais e organização do território;;True
9;18;Meio técnico-científico e informacional e dinâmica territorial;;;True
10;19;Geopolítica e redefinições territoriais;Processos de regionalização e o planejamento regional;;True
11;20;Interpretar e representar fenômenos geográficos em diversas escalas;Geografia da natureza: gênese e dinâmica;;True
12;21;Interpretar e representar fenômenos geográficos em diversas escalas;Geografia da natureza: gênese e dinâmica;;True
13;22;Questões ambientais, sociais e econômicas resultantes dos processos de apropriação dos recursos naturais, em diferentes escalas;;;True
14;23;Cartografia sistemática e temática na pesquisa e no ensino;;;True
15;24;Domínios morfoclimáticos do Brasil;;;True
16;25;Questões ambientais, sociais e econômicas resultantes dos processos de apropriação dos recursos naturais, em diferentes escalas;Estado, movimentos sociais e organização do território;;True
17;26;Cartografia sistemática e temática na pesquisa e no ensino;;;True
18;27;Possibilidades técnicas no tratamento da informação geográfica: Sistema de Informação Geográfica (SIG), geoprocessamento, georreferenciamento;;;True
19;28;Urbanização no Brasil e no mundo;Gestão e planejamento territorial e ambiental;;True
20;29;Questões ambientais, sociais e econômicas resultantes dos processos de apropriação dos recursos naturais, em diferentes escalas;;;True
21;30;Cartografia sistemática e temática na pesquisa e no ensino;;;True
22;31;Geografia da natureza: gênese e dinâmica;Questões ambientais, sociais e econômicas resultantes dos processos de apropriação dos recursos naturais, em diferentes escalas;;True
23;32;Dinâmica populacional no Brasil e no mundo;Transformações espaciais no campo e na cidade;;True
24;33;Cartografia sistemática e temática na pesquisa e no ensino;Estado, movimentos sociais e organização do território;;True
25;34;Transformações espaciais no campo e na cidade;;;True
26;35;Questões ambientais, sociais e econômicas resultantes dos processos de apropriação dos recursos naturais, em diferentes escalas;Estado, movimentos sociais e organização do território;;True
