;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;História Moderna;;;True
1;10;História Contemporânea;;;True
2;11;História do Brasil;;;True
3;12;Teoria e Metodologia da História;;;True
4;13;Teoria e Metodologia da História;;;True
5;14;História e cultura indígena;;;True
6;15;História do Brasil;;;False
7;16;História da África;;;True
8;17;História da América;;;True
9;18;Ensino de História;;;False
10;19;Teoria e Metodologia da História;;;True
11;20;História da América;;;False
12;21;História Medieval;;;True
13;22;História Antiga;;;True
14;23;História Moderna;;;True
15;24;História da África;;;True
16;25;História Medieval;;;True
17;26;História Antiga;;;False
18;27;História da América;;;True
19;28;História Medieval;;;True
20;29;História Contemporânea;;;True
21;30;Ensino de História;;;False
22;31;Gestão democrática educacional;;;True
23;32;Planejamento, organização e gestão escolar e em outros espaços educativos;Políticas, organização e financiamento da educação brasileira;;True
24;33;Teorias pedagógicas;Psicologia da Educação (aprendizagem e desenvolvimento);;False
25;34;Coordenação, elaboração e avaliação de projeto político-pedagógico;Planejamento, organização e gestão escolar e em outros espaços educativos;;True
26;35;Educação inclusiva e diversidade;;;True
