;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Fundamentos De Álgebra: Grupos, Anéis E Corpos;;;True
1;10;Cálculo Diferencial E Integral: Integrais: Primitivas, Integral Definida, Teorema Fundamental Do Cálculo, Aplicações;;;False
2;11;Conteúdos Matemáticos Da Educação Básica;;;True
3;12;Cálculo Diferencial E Integral: Integrais Múltiplas - Cálculo De Áreas E Volumes;;;False
4;13;Probabilidade E Estatística;;;True
5;14;Cálculo Diferencial E Integral: Equações Diferenciais Ordinárias;;;True
6;15;Cálculo Diferencial E Integral: Equações Diferenciais Ordinárias;;;False
7;16;Cálculo Diferencial E Integral: Funções De Uma Variável: Limites, Continuidade, Teorema Do Valor Intermediário, Derivada, Interpretações Da Derivada, Teorema Do Valor Médio, Aplicações;;;True
8;17;Fundamentos De Análise: Números Reais, Convergência De Sequências E Séries Numéricas, Funções Reais De Uma Variável Real, Limites E Continuidade, Extremos De Funções Contínuas, Derivadas;;;True
9;18;Fundamentos De Álgebra: Princípio Da Indução Finita, Divisibilidade, Números Primos, Teorema Fundamental Da Aritmética, Equações Diofantinas Lineares, Congruências Módulo M, Pequeno Teorema De Fermat;;;True
10;19;Álgebra Linear: Soluções De Sistemas Lineares, Espaços Vetoriais, Subespaços, Bases E Dimensão, Transformações Lineares E Matrizes, Autovalores E Autovetores, Produto Interno, Mudança De Coordenadas, Aplicações;;;True
11;20;Geometria Analítica: Vetores, Produtos Interno E Vetorial, Retas E Planos, Cônicas E Quádricas;;;False
12;21;"Cálculo Diferencial E Integral: Funções De Várias Variáveis: Derivadas Parciais, Derivadas Direcionais; Diferenciabilidade, Regra Da Cadeia, Aplicações";;;True
13;22;Cálculo Diferencial E Integral: Funções De Uma Variável: Limites, Continuidade, Teorema Do Valor Intermediário, Derivada, Interpretações Da Derivada, Teorema Do Valor Médio, Aplicações;;;False
14;23;Fundamentos Em Geometria;;;True
15;24;Matemática, Escola E Ensino: Seleção, Organização E Tratamento Do Conhecimento Matemático A Ser Ensinado;Conteúdos Matemáticos Da Educação Básica;;True
16;25;Probabilidade E Estatística;Matemática E Avaliação: Análise De Situações De Ensino E Aprendizagem Em Aulas Da Escola Básica;;True
17;26;"Matemática, Linguagem E Comunicação Na Sala De Aula: Intenções E Atitudes Na Escolha De Procedimentos Didáticos; História Da Matemática, Modelagem E Resolução De Problemas; Uso De Tecnologias E De Jogos";Conteúdos Matemáticos Da Educação Básica;;False
18;27;"Matemática, Linguagem E Comunicação Na Sala De Aula: Intenções E Atitudes Na Escolha De Procedimentos Didáticos; História Da Matemática, Modelagem E Resolução De Problemas; Uso De Tecnologias E De Jogos";Conteúdos Matemáticos Da Educação Básica;;True
19;28;Conteúdos Matemáticos Da Educação Básica;": Matemática, Linguagem E Comunicação Na Sala De Aula: Intenções E Atitudes Na Escolha De Procedimentos Didáticos; História Da Matemática, Modelagem E Resolução De Problemas; Uso De Tecnologias E De Jogos";;True
20;29;Conteúdos Matemáticos Da Educação Básica;Matemática, Linguagem E Comunicação Na Sala De Aula: Intenções E Atitudes Na Escolha De Procedimentos Didáticos;Fundamentos De Álgebra: Princípio Da Indução Finita, Divisibilidade, Números Primos, Teorema Fundamental Da Aritmética, Equações Diofantinas Lineares, Congruências Módulo M, Pequeno Teorema De Fermat;True
21;30;Álgebra Linear: Soluções De Sistemas Lineares, Espaços Vetoriais, Subespaços, Bases E Dimensão, Transformações Lineares E Matrizes, Autovalores E Autovetores, Produto Interno, Mudança De Coordenadas, Aplicações;;;True
22;31;Gestão Democrática Educacional;;;False
23;32;Planejamento, Organização E Gestão Escolar E Em Outros Espaços Educativos;Políticas, Organização E Financiamento Da Educação Brasileira;;True
24;33;Teorias Pedagógicas;Psicologia Da Educação (Aprendizagem E Desenvolvimento);;False
25;34;Coordenação, Elaboração E Avaliação De Projeto Político-Pedagógico;Planejamento, Organização E Gestão Escolar E Em Outros Espaços Educativos;;False
26;35;Educação Inclusiva E Diversidade;;;False
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
