;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Elementos Químicos, Estrutura Atômica E Molecular;Estudo De Substâncias E Transformações Químicas;;True
1;10;Estados Dispersos: Soluções E Sistemas Coloidais;;;False
2;11;Métodos De Análise Em Química: Caracterização E Quantificação;Química Ambiental;;False
3;12;Termodinâmica, Equilíbrio Químico, Cinética Química E Gases;;;False
4;13;Compostos De Coordenação;Elementos Químicos, Estrutura Atômica E Molecular;;True
5;14;Termodinâmica, Equilíbrio Químico, Cinética Química E Gases;;;True
6;15;Normas De Segurança E Operações De Laboratório Utilizadas Em Síntese, Purificação, Caracterização E Quantificação De Substâncias E Em Determinações Físico-Químicas;;;True
7;16;Química Ambiental;Normas De Segurança E Operações De Laboratório Utilizadas Em Síntese, Purificação, Caracterização E Quantificação De Substâncias E Em Determinações Físico-Químicas;;True
8;17;Compostos Orgânicos: Reações E Mecanismos;;;True
9;18;Química Ambiental;;;False
10;19;"Compostos Orgânicos: Reações E Mecanismos; Macromoléculas Naturais E Sintéticas";Termodinâmica, Equilíbrio Químico, Cinética Química E Gases;;False
11;20;Termodinâmica, Equilíbrio Químico, Cinética Química E Gases;;;True
12;21;Eletroquímica;;;True
13;22;Bioquímica: Estrutura De Biomoléculas, Biossíntese E Metabolismo;;;True
14;23;"Compostos Orgânicos: Reações E Mecanismos; Macromoléculas Naturais E Sintéticas";Métodos De Análise Em Química: Caracterização E Quantificação;;True
15;24;Compostos De Coordenação;;;False
16;25;"Compostos Orgânicos: Reações E Mecanismos; Macromoléculas Naturais E Sintéticas";;;True
17;26;Projetos E Propostas Curriculares No Ensino De Química;As Políticas Públicas E Suas Implicações Para O Ensino De Química;;True
18;27;Estratégias De Ensino E De Avaliação Em Química E Suas Relações Com As Diferentes Concepções De Ensino E Aprendizagem;;;True
19;28;A História Da Química No Contexto Do Desenvolvimento Científico E Tecnológico E A Sua Relação Com O Ensino De Química;;;True
20;29;Projetos E Propostas Curriculares No Ensino De Química;;;True
21;30;Recursos Didáticos Para O Ensino De Química;Estratégias De Ensino E De Avaliação Em Química E Suas Relações Com As Diferentes Concepções De Ensino E Aprendizagem;;True
22;31;Gestão Democrática Educacional;;;True
23;32;Planejamento, Organização E Gestão Escolar E Em Outros Espaços Educativos;Políticas, Organização E Financiamento Da Educação Brasileira;;True
24;33;Teorias Pedagógicas;Psicologia Da Educação (Aprendizagem E Desenvolvimento);;False
25;34;Coordenação, Elaboração E Avaliação De Projeto Político-Pedagógico;Planejamento, Organização E Gestão Escolar E Em Outros Espaços Educativos;;True
26;35;Educação Inclusiva E Diversidade;;;True
