;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Teorias da cultura e ensino das Artes Visuais;Artes visuais e outras expressões da visualidade contemporânea;Relação entre imagens e poder;True
1;10;Artes visuais e outras expressões da visualidade;Imagens, objetos e eventos de diversos referenciais culturais, raciais, étnicos, de classes, gêneros, sexualidades, religiões, escolaridades, faixas etárias e dos sujeitos com necessidades especiais;Identidades culturais, contextos visuais, cotidiano e visualidade;True
2;11;Transdisciplinaridade no ensino das Artes Visuais;;;True
3;12;Artes visuais e outras expressões da visualidade;Materiais e procedimentos;Linguagens, meios, processos e produção das visualidades;True
4;13;Artes visuais e outras expressões da visualidade;Linguagens, meios, processos e produção das visualidades;;True
5;14;Tecnologias, dispositivos digitais e veículos midiáticos no ensino das Artes Visuais;Linguagens, meios, processos e produção das visualidades;;True
6;15;Identidades culturais, contextos visuais, cotidiano e visualidade;A produção pedagógica e as visualidades da escola;Propostas pedagógicas em Artes Visuais nos espaços de educação formal e não-formal;True
7;16;;;;False
8;17;Relações interculturais, saberes e estéticas afro-brasileiras e indígenas;Produções artístico-culturais de matrizes étnico-raciais na sociedade brasileira;Imagens, objetos e eventos de diversos referenciais culturais, raciais, étnicos, de classes, gêneros, sexualidades, religiões, escolaridades, faixas etárias e dos sujeitos com necessidades especiais;True
9;18;Materiais e procedimentos;Linguagens, meios, processos e produção das visualidades;;True
10;19;Ensino das Artes Visuais e mediação;;;True
11;20;Artes visuais e outras expressões da visualidade contemporânea;Educação ambiental e Artes Visuais;Linguagens, meios, processos e produção das visualidades;True
12;21;Artes visuais e outras expressões da visualidade contemporânea;Educação ambiental e Artes Visuais;Materiais e procedimentos;True
13;22;;;;False
14;23;Tecnologias, dispositivos digitais e veículos midiáticos no ensino das Artes Visuais;;;True
15;24;Visualidades de origem americana, africana, asiática, europeia e da Oceania;Identidades culturais, contextos visuais, cotidiano e visualidade;;True
16;25;Legislação e políticas públicas nacionais no ensino das Artes Visuais;;;False
17;26;Produções artístico-culturais de matrizes étnico-raciais na sociedade brasileira;Identidades culturais, contextos visuais, cotidiano e visualidade;Relações interculturais, saberes e estéticas afro-brasileiras e indígenas;True
18;27;Processos avaliativos no ensino das Artes Visuais;;;True
19;28;Fundamentos teóricos, históricos e metodológicos do ensino das Artes Visuais;Identidades culturais, contextos visuais, cotidiano e visualidade;;False
20;29;Educação ambiental e Artes Visuais;;;True
21;30;Artes visuais e outras expressões da visualidade contemporânea;Linguagens, meios, processos e produção das visualidades;;True
22;31;Teorias pedagógicas e Didática;Planejamento e avaliação educacional;Planejamento e avaliação do ensino e da aprendizagem;True
23;32;Diferença, Diversidade e Educação inclusiva;Libras;;True
24;33;Diferença, Diversidade e Educação inclusiva;;;True
25;34;Psicologia da Educação;;;True
26;35;Teorias pedagógicas e Didática;Planejamento e avaliação do ensino e da aprendizagem;Conteúdos e metodologias específicas do ensino de: Língua Portuguesa, Matemática, Ciências, Geografia, História, Artes e Educação Física;True
