;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Algoritmos e Estruturas de Dados;;;True
1;10;Engenharia de Software e Interação Homem-Computador;;;True
2;11;Paradigmas de Linguagens de Programação;;;True
3;12;Arquitetura de Computadores e Sistemas Operacionais;;;True
4;13;Sistemas Digitais;;;True
5;14;Lógica e Matemática Discreta;;;True
6;15;Redes de computadores;;;True
7;16;Ética, Computador e Sociedade;;;True
8;17;Inteligência Artificial e Computacional;;;True
9;18;Algoritmos e Estruturas de Dados;;;True
10;19;Banco de Dados;;;True
11;20;Redes de Computadores;;;True
12;21;Lógica e Matemática Discreta;;;False
13;22;Fundamentos e Técnicas de Programação;;;True
14;23;Teoria da Computação;;;True
15;24;Teoria dos Grafos;Algoritmos e Estruturas de Dados;;True
16;25;Teoria da Computação;Algoritmos e Estruturas de Dados;;False
17;26;Computação Gráfica e Processamento de Imagem;;;False
18;27;Computação Gráfica e Processamento de Imagem;;;True
19;28;Engenharia de Software e Interação Homem-Computador;;;True
20;29;Arquitetura de Computadores e Sistemas Operacionais;;;True
21;30;Compiladores;;;True
22;31;Sistemas Distribuídos;;;True
23;32;Inteligência Artificial e Computacional;;;True
24;33;Teoria da Computação;Algoritmos e Estruturas de Dados;;True
25;34;Banco de Dados;;;True
26;35;Arquitetura de Computadores e Sistemas Operacionais;Sistemas Distribuídos;;True
