;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Métodos e técnicas de Pesquisa Quantitativa;;;True
1;10;Métodos e técnicas de Pesquisa Qualitativa;;;True
2;11;Teorias Contemporâneas da Antropologia;;;True
3;12;Teorias Clássicas da Sociologia;;;False
4;13;Temáticas Contemporâneas das Ciências Sociais;;;True
5;14;Teorias Clássicas da Ciência Política;;;True
6;15;Temáticas Contemporâneas das Ciências Sociais;;;True
7;16;Teorias Clássicas da Antropologia;;;True
8;17;Teorias Contemporâneas da Ciência Política;;;True
9;18;Teorias Contemporâneas da Sociologia;;;True
10;19;Teorias Contemporâneas da Sociologia;;;True
11;20;Métodos e técnicas de Pesquisa Qualitativa;;;True
12;21;Métodos e técnicas de Pesquisa Qualitativa;Teorias Clássicas da Antropologia;;True
13;22;Teorias Clássicas da Ciência Política;;;True
14;23;Teorias Contemporâneas da Ciência Política;;;False
15;24;Pensamento social e político brasileiro;;;True
16;25;Pensamento social e político brasileiro;;;True
17;26;Métodos e técnicas de Pesquisa Qualitativa;;;True
18;27;Teorias Contemporâneas da Antropologia;;;True
19;28;Métodos e técnicas de Pesquisa Quantitativa;;;True
20;29;Métodos e técnicas de Pesquisa Quantitativa;Métodos e técnicas de Pesquisa Qualitativa;;True
21;30;Teorias Clássicas da Ciência Política;;;False
22;31;Teorias Contemporâneas da Ciência Política;;;False
23;32;Teorias Clássicas da Antropologia;;;True
24;33;Temáticas Contemporâneas das Ciências Sociais;;;True
25;34;Teorias Clássicas da Sociologia;;;True
26;35;Temáticas Contemporâneas das Ciências Sociais;Métodos e técnicas de Pesquisa Quantitativa;;True
