;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Métodos e técnicas de Pesquisa Quantitativa;;;
1;10;Métodos e técnicas de Pesquisa Qualitativa;;;
2;11;Teorias Contemporâneas da Antropologia;;;
3;12;Teorias Clássicas da Sociologia;;;
4;13;Temáticas Contemporâneas das Ciências Sociais;;;
5;14;Teorias Clássicas da Ciência Política;;;
6;15;Temáticas Contemporâneas das Ciências Sociais;;;
7;16;Teorias Clássicas da Antropologia;;;
8;17;Teorias Contemporâneas da Ciência Política;;;
9;18;Teorias Contemporâneas da Sociologia;;;
10;19;Teorias Contemporâneas da Sociologia;;;
11;20;Métodos e técnicas de Pesquisa Qualitativa;;;
12;21;Métodos e técnicas de Pesquisa Qualitativa;Teorias Clássicas da Antropologia;;
13;22;Teorias Clássicas da Ciência Política;;;
14;23;Teorias Contemporâneas da Ciência Política;;;
15;24;Pensamento social e político brasileiro;;;
16;25;Pensamento social e político brasileiro;;;
17;26;Didática para o Ensino de Ciências Sociais;;;
18;27;Didática para o Ensino de Ciências Sociais;;;
19;28;Teorias Clássicas da Sociologia;;;
20;29;Temáticas Contemporâneas das Ciências Sociais;;;
21;30;Didática para o Ensino de Ciências Sociais;Temáticas Contemporâneas das Ciências Sociais;;
22;31;Teorias pedagógicas e Didática;Planejamento e avaliação educacional;Planejamento e avaliação do ensino e da aprendizagem;
23;32;Diferença, Diversidade e Educação inclusiva;Libras;;
24;33;Diferença, Diversidade e Educação inclusiva;;;
25;34;Psicologia da Educação;;;
26;35;Teorias pedagógicas e Didática;Planejamento e avaliação do ensino e da aprendizagem;Conteúdos e metodologias específicas do ensino de: Língua Portuguesa, Matemática, Ciências, Geografia, História, Artes e Educação Física;
