;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY;
0;9;Filosofia Medieval: Metafísica;;;True;
1;10;Filosofia Contemporânea: Metafísica e crítica da Metafísica;;;True;
2;11;Filosofia Antiga: Filosofia da Natureza;;;True;
3;12;Filosofia Antiga: Metafísica;;;True;
4;13;Filosofia Moderna: Metafísica e crítica da Metafísica;Filosofia da História;;False;
5;14;Estética e Filosofia da Arte;;;True;
6;15;Filosofia Medieval: Ética e Política;;;True;
7;16;Filosofia Contemporânea: Filosofia da Linguagem;;;True;
8;17;Filosofia Medieval: Filosofia da Linguagem;;;False;
9;18;Filosofia Moderna: Teoria do Conhecimento;;;True;
10;19;Filosofia Moderna: Metafísica e crítica da Metafísica;;;False;
11;20;Lógica e Filosofia da Ciência;;;True;
12;21;Filosofia da Religião;;;True;
13;22;Filosofia Moderna: Ética, Moral e Política;;;True;
14;23;Filosofia no Brasil;;;True;
15;24;Filosofia Antiga: Ética e Política;;;True;
16;25;Filosofia Contemporânea: Ética e Política;;;True;
17;26;Filosofia Medieval: Metafísica;;;True;
18;27;Filosofia da História;;;True;
19;28;Filosofia da Religião;;;True;
20;29;Filosofia Antiga: Ética e Política;;;True;
21;30;Filosofia no Brasil;;;False;
22;31;Lógica e Filosofia da Ciência;;;True;
23;32;Lógica e Filosofia da Ciência;;;True;
24;33;Estética e Filosofia da Arte;;;False;
25;34;Filosofia Moderna: Ética, Moral e Política;;;False;
26;35;Filosofia Contemporânea: Ética e Política;;;True;
