;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Filosofia Medieval: Metafísica;;;True
1;10;Filosofia Contemporânea: Metafísica e crítica da Metafísica;;;True
2;11;Filosofia Antiga: Filosofia da Natureza;;;True
3;12;Filosofia Antiga: Metafísica;;;False
4;13;Filosofia Moderna: Metafísica e crítica da Metafísica;Filosofia da História;;False
5;14;Estética e Filosofia da Arte;;;True
6;15;Filosofia Medieval: Ética e Política;;;True
7;16;Filosofia Contemporânea: Filosofia da Linguagem;;;True
8;17;Filosofia Medieval: Filosofia da Linguagem;;;False
9;18;Filosofia Moderna: Teoria do Conhecimento;;;True
10;19;Filosofia Moderna: Metafísica e crítica da Metafísica;;;True
11;20;Lógica e Filosofia da Ciência;;;True
12;21;Filosofia da Religião;;;True
13;22;Filosofia Moderna: Ética, Moral e Política;;;True
14;23;Filosofia no Brasil;;;True
15;24;Filosofia Antiga: Ética e Política;;;True
16;25;Filosofia Contemporânea: Ética e Política;;;True
17;26;Filosofia no Brasil;;;True
18;27;Filosofia da Educação;;;True
19;28;Filosofia da Religião;;;True
20;29;Filosofia da Educação;;;True
21;30;Didática e Ensino de Filosofia;;;True
22;31;Teorias pedagógicas e Didática;Planejamento e avaliação educacional;Planejamento e avaliação do ensino e da aprendizagem;True
23;32;Diferença, Diversidade e Educação inclusiva;Libras;;True
24;33;Diferença, Diversidade e Educação inclusiva;;;True
25;34;Psicologia da Educação;;;True
26;35;Teorias pedagógicas e Didática;Planejamento e avaliação do ensino e da aprendizagem;Conteúdos e metodologias específicas do ensino de: Língua Portuguesa, Matemática, Ciências, Geografia, História, Artes e Educação Física;True
