;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;História e evolução conceitual da Física;Física Moderna;;True
1;10;Física básica: Mecânica e Termodinâmica;;;True
2;11;Física básica: Mecânica e Termodinâmica;;;True
3;12;Física básica: Mecânica e Termodinâmica;;;True
4;13;Física básica: Mecânica e Termodinâmica;;;False
5;14;Física básica: Eletricidade e Magnetismo;;;True
6;15;Física básica: Eletricidade e Magnetismo;;;False
7;16;Física básica: Física Ondulatória e Ótica;;;False
8;17;Física básica: Física Ondulatória e Ótica;;;False
9;18;Física básica: Física Ondulatória e Ótica;;;False
10;19;Física básica: Física Ondulatória e Ótica;;;True
11;20;Física Moderna;;;True
12;21;Física Moderna;;;False
13;22;Metodologia do ensino da Física;Física básica: Eletricidade e Magnetismo;;True
14;23;Metodologia do ensino da Física;Física básica: Eletricidade e Magnetismo;;True
15;24;Metodologia do ensino da Física;Física Moderna;;True
16;25;Fundamentos históricos, epistemológicos e sociológicos da Física e o ensino da Física;Física básica: Eletricidade e Magnetismo;;True
17;26;Física básica: Mecânica;;;False
18;27;Metodologia do ensino da Física;Física básica: Física Ondulatória e Ótica;;True
19;28;Metodologia do ensino da Física;Física básica: Mecânica e Termodinâmica;;True
20;29;Fundamentos históricos, epistemológicos e sociológicos da Física e o ensino da Física;Física básica: Mecânica e Termodinâmica;;True
21;30;Metodologia do ensino da Física;Física básica: Física Ondulatória e Ótica;;True
22;31;Teorias pedagógicas e Didática;Planejamento e avaliação educacional;Planejamento e avaliação do ensino e da aprendizagem;True
23;32;Diferença, Diversidade e Educação inclusiva;Libras;;True
24;33;Diferença, Diversidade e Educação inclusiva;;;True
25;34;Psicologia da Educação;;;True
26;35;Teorias pedagógicas e Didática;Planejamento e avaliação do ensino e da aprendizagem;Conteúdos e metodologias específicas do ensino de: Língua Portuguesa, Matemática, Ciências, Geografia, História, Artes e Educação Física;True
