;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Urbanização no Brasil e no mundo;;;True
1;10;Sujeitos, processos e dinâmicas dos espaços agrários e rurais;;;True
2;11;Geopolítica, geografia política e redefinições territoriais;Reestruturação produtiva, sistema financeiro e produção/transformação do espaço;;True
3;12;Interações espaciais, fluxos e formação de redes geográficas;Dinâmica populacional no Brasil e no mundo;;True
4;13;Diversidade étnico-racial, de gênero e cultural na Geografia;Geografia histórica e formação territorial do Brasil;;False
5;14;"Pressupostos teóricos que fundamentam as categorias: Espaço, Região, Paisagem, Território e Lugar; Meio técnico-científico e informacional e dinâmica territorial; Interações espaciais, fluxos e formação de redes geográficas.";;;True
6;15;Cartografia básica, temática e sensoriamento remoto;Tecnologias e linguagens no ensino e na pesquisa em Geografia;;False
7;16;Fundamentos epistemológicos do pensamento geográfico;;;True
8;17;Meio técnico-científico e informacional e dinâmica territorial;Reestruturação produtiva, sistema financeiro e produção/transformação do espaço;;True
9;18;Geografia da natureza: gênese e dinâmica;Recursos naturais e questões ambientais;;True
10;19;Geografia da natureza: gênese e dinâmica;Recursos naturais e questões ambientais;;True
11;20;Geografia da natureza: gênese e dinâmica;Recursos naturais e questões ambientais;;True
12;21;Geopolítica, geografia política e redefinições territoriais;;;True
13;22;Domínios morfoclimáticos do Brasil;;;True
14;23;Recursos naturais e questões ambientais;;;True
15;24;Transformações no mundo do trabalho;Reestruturação produtiva, sistema financeiro e produção/transformação do espaço;;False
16;25;Recursos naturais e questões ambientais;;;True
17;26;Alfabetização cartográfica;Cartografia básica, temática e sensoriamento remoto;;True
18;27;Diversidade étnico-racial, de gênero e cultural na Geografia;Ensino de Geografia nos diferentes contextos socioculturais;;True
19;28;Recursos naturais e questões ambientais;Ensino de Geografia nos diferentes contextos socioculturais;;True
20;29;Transformações nas relações campo-cidade;Ensino de Geografia nos diferentes contextos socioculturais;;True
21;30;Cartografia básica, temática e sensoriamento remoto;;;True
22;31;Teorias pedagógicas e Didática;Planejamento e avaliação educacional;Planejamento e avaliação do ensino e da aprendizagem;True
23;32;Diferença, Diversidade e Educação inclusiva;Libras;;True
24;33;Diferença, Diversidade e Educação inclusiva;;;True
25;34;Psicologia da Educação;;;True
26;35;Teorias pedagógicas e Didática;Planejamento e avaliação do ensino e da aprendizagem;Conteúdos e metodologias específicas do ensino de: Língua Portuguesa, Matemática, Ciências, Geografia, História, Artes e Educação Física;True
