;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Teoria e Metodologia da História;;;True
1;10;História Contemporânea;;;True
2;11;História e cultura afro-brasileira e indígena;;;True
3;12;História Moderna;;;True
4;13;História da África;;;True
5;14;História do Brasil;História da América;;True
6;15;História Medieval;;;True
7;16;História Antiga;;;True
8;17;Teoria e Metodologia da História;;;True
9;18;História do Brasil;;;True
10;19;História Moderna;;;True
11;20;História do Brasil;;;True
12;21;História da África;;;True
13;22;História e cultura afro-brasileira e indígena;;;True
14;23;História Moderna;História Contemporânea;;False
15;24;História da América;;;True
16;25;História do Brasil;;;True
17;26;História Medieval;;;True
18;27;História Moderna;História do Brasil;;True
19;28;História do Brasil;;;True
20;29;História do Brasil;;;True
21;30;História Contemporânea;;;True
22;31;História da América;;;True
23;32;História do Brasil;;;True
24;33;História Contemporânea;;;True
25;34;História Antiga;;;True
26;35;Teoria e Metodologia da História;;;True
