;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Aspectos fonológicos, morfossintáticos e léxico-gramaticais da língua inglesa.;;;True
1;10;Literatura, cultura e diversidade em língua inglesa.;;;True
2;11;Literatura, cultura e diversidade em língua inglesa.;Literaturas em língua inglesa em perspectiva interdisciplinar;;True
3;12;Interfaces das literaturas em lingua inglesa com outras artes e a mídia;Conceitos de cânone literário nas literaturas em língua inglesa;;True
4;13;Literaturas em língua inglesa em perspectiva interdisciplinar;;;False
5;14;Aspectos fonológicos, morfossintáticos e léxico-gramaticais da língua inglesa;Diversidade linguística do inglês e seus aspectos geopolíticos;;True
6;15;Literaturas em língua inglesa em perspectiva interdisciplinar;;;True
7;16;Aspectos fonológicos, morfossintáticos e léxico-gramaticais da língua inglesa;Aspectos pragmático-discursivos da língua inglesa;Processos de leitura e produção de textos na língua inglesa;True
8;17;Diversidade linguística do inglês e seus aspectos geopolíticos;Teorias, métodos e abordagens de ensino de língua inglesa e suas respectivas literaturas na educação básica;;False
9;18;Processos históricos de formação da língua inglesa;Aspectos fonológicos, morfossintáticos e léxico-gramaticais da língua inglesa;Aspectos pragmático-discursivos da língua inglesa;True
10;19;Gêneros discursivos e textuais na língua inglesa em diferentes modalidades;Concepções de linguagem, língua, texto e discurso;;True
11;20;Tecnologias da informação e da comunicação no ensino-aprendizagem de língua inglesa e suas respectivas literaturas na educação básica;;;True
12;21;Aspectos pragmático-discursivos da língua inglesa;Gêneros discursivos e textuais na língua inglesa em diferentes modalidades;;True
13;22;Tecnologias da informação e da comunicação no ensino-aprendizagem de língua inglesa e suas respectivas literaturas na educação básica;;;True
14;23;Correntes teóricas e modalidades de análise do texto literário em língua inglesa;;;True
15;24;Gêneros discursivos e textuais na língua inglesa em diferentes modalidades;Concepções de linguagem, língua, texto e discurso;;True
16;25;Métodos de investigação e pesquisa na área de língua inglesa e suas literaturas em seus diversos contextos;;;True
17;26;Processos históricos de formação da língua inglesa;Aspectos fonológicos, morfossintáticos e léxico-gramaticais da língua inglesa;;True
18;27;Processos avaliativos no ensino-aprendizagem de língua inglesa e suas respectivas literaturas na educação básica;;;True
19;28;Teorias de aquisição e de aprendizagem de língua inglesa;Teorias, métodos e abordagens de ensino de língua inglesa e suas respectivas literaturas na educação básica;;True
20;29;Gêneros discursivos e textuais na língua inglesa em diferentes modalidades;Tecnologias da informação e da comunicação no ensino-aprendizagem de língua inglesa e suas respectivas literaturas na educação básica;;True
21;30;Tecnologias da informação e da comunicação no ensino-aprendizagem de língua inglesa e suas respectivas literaturas na educação básica;Processos avaliativos no ensino-aprendizagem de língua inglesa e suas respectivas literaturas na educação básica;;False
22;31;Teorias pedagógicas e Didática;Planejamento e avaliação educacional;Planejamento e avaliação do ensino e da aprendizagem;True
23;32;Diferença, Diversidade e Educação inclusiva;Libras;;True
24;33;Diferença, Diversidade e Educação inclusiva;;;True
25;34;Psicologia da Educação;;;True
26;35;Teorias pedagógicas e Didática;Planejamento e avaliação do ensino e da aprendizagem;Conteúdos e metodologias específicas do ensino de: Língua Portuguesa, Matemática, Ciências, Geografia, História, Artes e Educação Física;True
