;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Pesquisa científica para a área de música;;;True
1;10;Avaliação em música: conceitos, técnicas, tipos e critério;;;True
2;11;Elementos perceptivos, teóricos, analíticos e estruturais da música;;;True
3;12;Tecnologias para a área de música;;;True
4;13;Criação musical: técnicas e recursos de composição, arranjo e improvisação;;;True
5;14;Prática musical: elementos de interpretação, repertórios, estilos e gêneros de música;;;True
6;15;Elementos perceptivos, teóricos, analíticos e estruturais da música;;;True
7;16;Prática musical: elementos de interpretação, repertórios, estilos e gêneros de música;;;True
8;17;Elementos estéticos, históricos e filosóficos da música;;;True
9;18;Ensino da música em diferentes contextos: princípios metodológicos, educacionais, filosóficos e éticos;;;True
10;19;Criação musical: técnicas e recursos de composição, arranjo e improvisação;Música em diversas culturas: sonoridades, aspectos sociais, antropológicos, estéticos e filosóficos;Tecnologias para a área de música;True
11;20;Avaliação em música: conceitos, técnicas, tipos e critério;;;False
12;21;Prática musical: elementos de interpretação, repertórios, estilos e gêneros de música;;;True
13;22;Música em diversas culturas: sonoridades, aspectos sociais, antropológicos, estéticos e filosóficos;;;True
14;23;Prática musical: elementos de interpretação, repertórios, estilos e gêneros de música;;;False
15;24;Elementos perceptivos, teóricos, analíticos e estruturais da música;;;True
16;25;Tecnologias para a área de música;;;True
17;26;Ensino da música em diferentes contextos: princípios metodológicos, educacionais, filosóficos e éticos;;;True
18;27;Ensino da música em diferentes contextos: princípios metodológicos, educacionais, filosóficos e éticos;;;True
19;28;Criação musical: técnicas e recursos de composição, arranjo e improvisação;;;True
20;29;Elementos perceptivos, teóricos, analíticos e estruturais da música;;;True
21;30;Elementos estéticos, históricos e filosóficos da música;Prática musical: elementos de interpretação, repertórios, estilos e gêneros de música;Música em diversas culturas: sonoridades, aspectos sociais, antropológicos, estéticos e filosóficos;True
22;31;Teorias pedagógicas e Didática;Planejamento e avaliação educacional;Planejamento e avaliação do ensino e da aprendizagem;True
23;32;Diferença, Diversidade e Educação inclusiva;Libras;;True
24;33;Diferença, Diversidade e Educação inclusiva;;;True
25;34;Psicologia da Educação;;;True
26;35;Teorias pedagógicas e Didática;Planejamento e avaliação do ensino e da aprendizagem;Conteúdos e metodologias específicas do ensino de: Língua Portuguesa, Matemática, Ciências, Geografia, História, Artes e Educação Física;True
