QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Teorias pedagógicas e Didática;Planejamento e avaliação educacional;Planejamento e avaliação do ensino e da aprendizagem;True
10;Diferença, Diversidade e Educação inclusiva;Libras;;True
11;Diferença, Diversidade e Educação inclusiva;;;True
12;Psicologia da Educação;;;True
13;Teorias pedagógicas e Didática;Planejamento e avaliação do ensino e da aprendizagem;Conteúdos e metodologias específicas do ensino;True
14;Práticas educativas para o processo de aprendizagem de crianças, jovens e adultos;;;True
15;Teorias pedagógicas e Didática;Planejamento e avaliação do ensino e da aprendizagem;Pesquisa educacional;False
16;Políticas de Infância e Linguagens expressivas na infância;;;True
17;Conteúdos e metodologias específicas do ensino;;;True
18;Teorias pedagógicas e Didática;Políticas de Infância e Linguagens expressivas na infância;;True
19;Teorias pedagógicas e Didática;Teorias e práticas de currículo;Gestão democrática educacional;True
20;Políticas, organização e financiamento da educação brasileira;;;True
21;Alfabetização e letramento;Práticas educativas para o processo de aprendizagem de crianças, jovens e adultos;;False
22;Filosofia da Educação e Ensino de Filosofia;;;False
23;Tecnologias da comunicação e informação nas práticas educativas;;;True
24;Conteúdos e metodologias específicas do ensino;;;True
25;Sociologia da Educação;Filosofia da Educação e Ensino de Filosofia;;True
26;Alfabetização e letramento;;;True
27;Políticas, organização e financiamento da educação brasileira;Trabalho e Educação;;True
28;Teorias pedagógicas e Didática;Conteúdos e metodologias específicas do ensino;Teorias e práticas de currículo;True
29;Políticas, organização e financiamento da educação brasileira;Práticas educativas para o processo de aprendizagem de crianças, jovens e adultos;;True
30;Conteúdos e metodologias específicas do ensino;;;True
31;História da Educação;Identidade e especificidades do trabalho docente;;True
32;Políticas, organização e financiamento da educação brasileira;Identidade e especificidades do trabalho docente;;True
33;Identidade e especificidades do trabalho docente;;;True
34;Conteúdos e metodologias específicas do ensino;Práticas educativas para o processo de aprendizagem de crianças, jovens e adultos;;True
35;Políticas, organização e financiamento da educação brasileira;;;False
