;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Estrutura molecular e de sólidos iônicos e metálicos;;;True
1;10;Compostos orgânicos: reações e mecanismos, macromoléculas naturais e sintéticas;;;True
2;11;Compostos inorgânicos de elementos representativos e de coordenação;;;True
3;12;Elementos químicos e estrutura atômica;;;True
4;13;Métodos de análise em Química: caracterização e quantificação;;;True
5;14;Eletroquímica;;;True
6;15;Equilíbrio químico;;;False
7;16;Bioquímica: estrutura de biomoléculas, catálise enzimática, biossíntese e metabolismo;;;True
8;17;Cinética química;;;True
9;18;Gases e termodinâmica;;;True
10;19;Química verde e química ambiental;;;True
11;20;Compostos orgânicos: reações e mecanismos, macromoléculas naturais e sintéticas;;;True
12;21;Técnicas básicas de laboratório: normas de segurança e operações de laboratório, compatibilidade entre substâncias, riscos associados à manipulação de produtos químicos e destinação de resíduos;;;False
13;22;Bioquímica: estrutura de biomoléculas, catálise enzimática, biossíntese e metabolismo;;;True
14;23;Compostos inorgânicos de elementos representativos e de coordenação;;;True
15;24;Métodos de análise em Química: caracterização e quantificação;;;False
16;25;Compostos orgânicos: reações e mecanismos, macromoléculas naturais e sintéticas;;;True
17;26;Química quântica;;;True
18;27;Técnicas analíticas instrumentais: análise térmica, cromatografia, RMN de C-13 e H-1, UV-Vis, infravermelho, espectrometria de massas, absorção atômica;;;True
19;28;Espectroscopia UV-Vis de compostos de coordenação;;;True
20;29;Compostos orgânicos: reações e mecanismos, macromoléculas naturais e sintéticas;;;True
21;30;Teoria dos orbitais moleculares em moléculas poliatômicas;;;False
22;31;Sistemas de gestão da qualidade e de gestão ambiental;;;False
23;32;Compostos orgânicos: reações e mecanismos, macromoléculas naturais e sintéticas;;;True
24;33;Química verde e química ambiental;;;False
25;34;Técnicas analíticas instrumentais: análise térmica, cromatografia, RMN de C-13 e H-1, UV-Vis, infravermelho, espectrometria de massas, absorção atômica;;;True
26;35;Eletroquímica;;;True
