;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Engenharia de Software;;;False
1;10;Gerência de Projetos;;;False
2;11;Banco de Dados;;;True
3;12;Informática e Sociedade;;;True
4;13;Arquitetura empresarial e da tecnologia da informação;;;True
5;14;Fundamentos de Sistemas de Informação e Teoria Geral de Sistemas;;;False
6;15;Arquitetura da informação;;;True
7;16;Interação Humano-Computador;;;True
8;17;Qualidade de Processo e Produto;;;True
9;18;Arquitetura empresarial e da tecnologia da informação;;;True
10;19;Pesquisa Operacional;;;True
11;20;Lógica Matemática e Matemática Discreta;;;True
12;21;Modelagem de Sistemas de Informação;;;True
13;22;Sistemas Operacionais;Redes de Computadores e Sistemas Distribuídos;;True
14;23;Banco de Dados;;;True
15;24;Probabilidade e Estatística;;;True
16;25;Gestão de Processos de Negócio;;;False
17;26;Fundamentos, Paradigmas e Linguagens de Programação;;;True
18;27;Gestão do Conhecimento;;;True
19;28;Gerência de Projetos;;;True
20;29;Gestão de Processos de Negócio;;;False
21;30;Engenharia de Software;Qualidade de Processo e Produto;;True
22;31;Redes de Computadores e Sistemas Distribuídos;;;True
23;32;Governança de Tecnologia da Informação e Comunicação;;;True
24;33;Segurança e Auditoria de Sistemas;;;True
25;34;Arquitetura e Organização de Computadores;;;True
26;35;Algoritmos e Estruturas de Dados;;;True
