;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Metodologias para o ensino da Física;;;False
1;10;Organização didático-curricular para o ensino da Física;;;True
2;11;Física básica: Mecânica e Termodinâmica;;;True
3;12;Física básica: Mecânica e Termodinâmica;;;True
4;13;Física básica: Mecânica e Termodinâmica;;;True
5;14;Física básica: Eletricidade e Magnetismo;;;True
6;15;Física básica: Ondulatória e Ótica;;;True
7;16;Fundamentos históricos, epistemológicos e sociológicos da Física e o ensino da Física;;;True
8;17;Introdução a Física Moderna;;;True
9;18;Tecnologias da comunicação e informação no ensino da Física;;;True
10;19;Organização didático-curricular para o ensino da Física;;;True
11;20;Física básica: Mecânica e Termodinâmica;;;True
12;21;Introdução a Física Moderna;;;True
13;22;Introdução a Física Moderna;;;False
14;23;Metodologias para o ensino da Física;;;True
15;24;Introdução a Física Moderna;;;False
16;25;Física básica: Eletricidade e Magnetismo;;;False
17;26;Física básica: Mecânica e Termodinâmica;;;True
18;27;Fundamentos históricos, epistemológicos e sociológicos da Física e o ensino da Física;;;True
19;28;Física básica: Eletricidade e Magnetismo;;;True
20;29;Física básica: Ondulatória e Ótica;;;True
21;30;Física básica: Mecânica e Termodinâmica;Introdução a Física Moderna;;True
22;31;Diferença, Diversidade, Educação especial e inclusiva;Políticas e práticas de articulação escola-comunidade e movimentos sociais;;True
23;32;Teorias pedagógicas;;;True
24;33;Cultura Surda e Libras;;;True
25;34;Planejamento, organização e gestão democrática educacional em espaço escolar e não escolar;;;True
26;35;Tecnologias da comunicação e informação nas práticas educativas;;;True
