;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Níveis de análise da língua;;;True
1;10;Formação do cânone e do anticânone;;;True
2;11;Aspectos distintivos, linguísticos e extralinguísticos do português do Brasil;;;True
3;12;Gêneros literários: tradição e inovação;;;True
4;13;Formação histórica da língua portuguesa;;;True
5;14;Língua oral e escrita;;;True
6;15;Literatura, performance e oralidade;;;True
7;16;Ensino e aprendizagem de literatura;;;True
8;17;Ensino e aprendizagem da língua portuguesa;;;True
9;18;Níveis de análise da língua;;;True
10;19;Formação do cânone e do anticânone;;;False
11;20;Variação linguística;;;True
12;21;Variação linguística;;;True
13;22;Variação linguística;;;False
14;23;Literatura, performance e oralidade;;;True
15;24;Inter-relações da literatura com outros sistemas culturais e semióticos;;;True
16;25;Ensino e aprendizagem de literatura;;;True
17;26;Ensino e aprendizagem de literatura.;;;True
18;27;Inter-relações da literatura com outros sistemas culturais e semióticos;;;True
19;28;Concepções de língua e linguagem nas diversas teorias linguísticas;;;True
20;29;Gêneros discursivos e tipologias textuais;;;True
21;30;Gêneros literários: tradição e inovação;;;True
22;31;Diferença, Diversidade, Educação especial e inclusiva;Políticas e práticas de articulação escola-comunidade e movimentos sociais;;True
23;32;Teorias pedagógicas;;;True
24;33;Cultura Surda e Libras;;;True
25;34;Planejamento, organização e gestão democrática educacional em espaço escolar e não escolar;;;True
26;35;Tecnologias da comunicação e informação nas práticas educativas;;;True
