;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Bioquímica: estrutura e caracterização de biomoléculas, catálise enzimática, biossíntese e metabolismo;;;False
1;10;Elementos químicos, periodicidade e estrutura atômica;;;False
2;11;Bioquímica: estrutura e caracterização de biomoléculas, catálise enzimática, biossíntese e metabolismo;;;True
3;12;Química ambiental;;;True
4;13;Cinética química;;;False
5;14;Gases e termodinâmica;;;False
6;15;Eletroquímica;;;True
7;16;Equilíbrio químico;;;False
8;17;Gases e termodinâmica;;;True
9;18;Normas de Segurança: boas práticas de laboratório, compatibilidade entre substâncias, riscos associados à manipulação de produtos químicos e destinação adequada de resíduos;;;False
10;19;Estrutura molecular e de sólidos iônicos e metálicos;;;True
11;20;Estudo de substâncias e suas transformações;;;True
12;21;Estrutura molecular e de sólidos iônicos e metálicos;;;False
13;22;Elementos químicos, periodicidade e estrutura atômica;;;True
14;23;Estrutura molecular e de sólidos iônicos e metálicos;;;True
15;24;Compostos orgânicos: estrutura, propriedades, reações e mecanismos;;;True
16;25;Química verde;;;True
17;26;Estudo de substâncias e suas transformações;;;True
18;27;Educação em espaço não escolares;Química ambiental;;True
19;28;Cultura Surda e Libras;Estudo de substâncias e suas transformações;;True
20;29;Relações entre ciência, tecnologia, sociedade e ambiente no ensino de Química;Química ambiental;;True
21;30;Tecnologias da comunicação e informação nas práticas educativas;Recursos didáticos;;True
22;31;Diferença, Diversidade, Educação especial e inclusiva;Políticas e práticas de articulação escola-comunidade e movimentos sociais;;True
23;32;Teorias pedagógicas;;;True
24;33;Cultura Surda e Libras;;;True
25;34;Planejamento, organização e gestão democrática educacional em espaço escolar e não escolar;;;True
26;35;Tecnologias da comunicação e informação nas práticas educativas;;;True
