;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Gestão de políticas, de programas e de projetos públicos e socioambientais;Matemática e Estatística aplicadas à administração pública;;True
1;10;Teorias das organizações e da administração pública;Conteúdos relacionados, nas diferentes áreas disciplinares, à realidade histórica e contemporânea da sociedade e do Estado brasileiro;;True
2;11;Direito, Economia e/ou Ciências Contábeis;;;True
3;12;Gestão de estruturas e processos organizacionais;;;True
4;13;Gestão de estruturas e processos organizacionais;;;False
5;14;Gestão de políticas, de programas e de projetos públicos e socioambientais;;;True
6;15;Teorias das organizações e da administração pública;"; Filosofia, ética, antropologia, sociologia, psicologia e ciência política";;True
7;16;Teorias das organizações e da administração pública;Gestão de políticas, de programas e de projetos públicos e socioambientais;;True
8;17;Gestão de áreas funcionais (pessoas, finanças, orçamento público, serviços e logística de materiais);Direito, Economia e Ciências Contábeis;;True
9;18;Gestão de políticas, de programas e de projetos públicos e socioambientais;Planejamento e gestão governamental;;True
10;19;Direito, Economia e Ciências Contábeis;Gestão de políticas, de programas e de projetos públicos e socioambientais;;True
11;20;Gestão de áreas funcionais (pessoas, finanças, orçamento público, serviços e logística de materiais;;;False
12;21;Gestão de áreas funcionais (pessoas, finanças, orçamento público, serviços e logística de materiais;;;True
13;22;Direito, Economia e Ciências Contábeis;Gestão de políticas, de programas e de projetos públicos e socioambientais;;True
14;23;Métodos qualitativos aplicados à administração pública;Planejamento e Gestão governamental;;False
15;24;Sistemas e Tecnologias de Informação e Comunicação (TIC);Planejamento e Gestão governamental;;False
16;25;Conteúdos relacionados à capacidade de leitura, escrita, expressão e comunicação;Direito, Economia e Ciências Contábeis;;True
17;26;Sistemas e Tecnologias de Informação e Comunicação (TIC);Planejamento e Gestão governamental;;True
18;27;Matemática e Estatística aplicadas à administração pública;;;True
19;28;Direito, Economia e Ciências Contábeis;;;True
20;29;Gestão de áreas funcionais (pessoas, finanças, orçamento público, logística de materiais e de serviços);;;False
21;30;"Gestão de estruturas e processos organizacionais; e Gestão de áreas funcionais (pessoas, finanças, orçamento público, serviços e logística de materiais)";;;True
22;31;Gestão de áreas funcionais (pessoas, finanças, orçamento público, serviços e logística de materiais);;;True
23;32;Planejamento e Gestão governamental;Gestão de políticas, de programas e de projetos públicos e socioambientais;;False
24;33;Métodos qualitativos aplicados à administração pública;;;True
25;34;Gestão de áreas funcionais (pessoas, finanças, orçamento público, serviços e logística de materiais;Filosofia, ética, antropologia, sociologia, psicologia e ciência política;;True
26;35;Filosofia, ética, antropologia, sociologia, psicologia e ciência política;;;True
