;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Finanças;;;
1;10;Teorias da Administração e das Organizações;Sistemas de Informação e Tecnologias da Informação e Comunicação;;
2;11;Teorias da Administração e das Organizações;Antropologia, Sociologia, Ciência Política, Filosofia e Ética;;
3;12;Antropologia, Sociologia, Ciência Política, Filosofia e Ética;Sustentabilidade Social Corporativa;;
4;13;Teorias da Administração e das Organizações;;;
5;14;Gestão de Pessoas;;;
6;15;Métodos quantitativos aplicados à Administração;;;
7;16;Planejamento e Gestão Estratégica;;;
8;17;Ciências jurídicas, econômicas e contábeis;;;
9;18;Sustentabilidade e responsabilidade social corporativa;;;
10;19;Mercado e Marketing;Planejamento e Gestão Estratégica;;
11;20;Operações, Logística e Gestão da Qualidade;Sustentabilidade e responsabilidade social corporativa;;
12;21;Gestão de Projetos e Gestão de Processos e Serviços;;;
13;22;Planejamento e gestão estratégica;;;
14;23;Sustentabilidade e responsabilidade social corporativa;;;
15;24;Métodos Quantitativos aplicados à Administração;;;
16;25;Ciências Jurídicas, Econômicas e Contábeis;;;
17;26;Ciências Jurídicas, Econômicas e Contábeis;;;
18;27;Planejamento e Gestão Estratégica;Mercado e Marketing;;
19;28;Gestão de Projetos e Gestão de Processos e Serviços;;;
20;29;Sistemas de Informação e Tecnologias da Informação e Comunicação;;;
21;30;Métodos Quantitativos aplicados à Administração;;;
22;31;Gestão da Inovação, Gestão do Conhecimento e Empreendedorismo;;;
23;32;Gestão da Inovação, Gestão do Conhecimento e Empreendedorismo;;;
24;33;Gestão da Inovação, Gestão do Conhecimento e Empreendedorismo;;;
25;34;Gestão de Pessoas;;;
26;35;Gestão de Pessoas;;;
