;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Direito Constitucional;;;True
1;10;Direito Constitucional;Direito Processual;;True
2;11;Direito Administrativo;Direito Processual;;False
3;12;Direito Administrativo;;;True
4;13;Direito Tributário;Direito Econômico e Economia Política;Direito Constitucional;False
5;14;Direito Tributário;Filosofia do Direito e Ética;;True
6;15;Direito Penal;;;True
7;16;Direito Penal;Direitos Humanos;;True
8;17;Direito Processual;;;True
9;18;Direito Empresarial;Direito Econômico e Economia Política;;True
10;19;Direito Empresarial;;;True
11;20;Direito do Trabalho;;;True
12;21;Direito do Trabalho;Sociologia;;True
13;22;Direito Internacional;Direitos Humanos;;True
14;23;Direito Civil;;;True
15;24;Direito Internacional;Direitos Humanos;;True
16;25;Direito Internacional;Direitos Humanos;;True
17;26;Direito Processual;Direito Constitucional;;False
18;27;Direito Processual;;;True
19;28;Direito Processual;;;True
20;29;Direito Ambiental;Direito Constitucional;;True
21;30;Direito Ambiental;;;True
22;31;Teoria Geral do Direito;Direito Administrativo;;True
23;32;Sociologia;Filosofia do Direito e Ética;;True
24;33;Antropologia;Direito Constitucional;;True
25;34;Teoria do Estado e Ciência Política;História do Direito;;True
26;35;Direito Internacional;Direitos Humanos;;True
