;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Práticas, técnicas e processos produtivos contemporâneos em jornalismo;;;True
1;10;Sociologia da Comunicação;;;True
2;11;Políticas de Comunicação;Telejornalismo e audiovisual;;True
3;12;Políticas de Comunicação;Telejornalismo e audiovisual;;True
4;13;Jornalismo Impresso;;;True
5;14;Jornalismo digital e multiplataforma;;;False
6;15;Fotojornalismo;Práticas, técnicas e processos produtivos contemporâneos em Jornalismo;;False
7;16;Práticas, técnicas e processos produtivos contemporâneos em Jornalismo;;;True
8;17;Práticas, técnicas e processos produtivos contemporâneos em Jornalismo;;;True
9;18;Legislação e ética em Jornalismo;Fotojornalismo;;True
10;19;Práticas, técnicas e processos produtivos contemporâneos em Jornalismo;Educação para as mídias e combate à desinformação;;True
11;20;Planejamento gráfico e visual em Jornalismo;;;True
12;21;Educação para as mídias e combate à desinformação;;;True
13;22;Educação para as mídias e combate à desinformação;;;True
14;23;Teorias da Comunicação;;;True
15;24;Teorias do Jornalismo;;;False
16;25;Teorias do Jornalismo;;;True
17;26;Teorias do Jornalismo;;;True
18;27;Linguagens jornalísticas;;;True
19;28;Metodologia e Pesquisa em Jornalismo;;;True
20;29;Gêneros jornalísticos;Jornalismo Impresso;;True
21;30;Jornalismo Impresso;;;False
22;31;Reportagem, entrevista e apuração jornalística;Jornalismo Investigativo;Telejornalismo;True
23;32;Jornalismo de dados;;;True
24;33;Novas práticas, técnicas e processos de produção jornalísticos;;;True
25;34;Comunicação institucional, corporativa e assessoria de imprensa;;;False
26;35;Linguagens jornalísticas;;;True
