;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Intervenções em atenção e promoção da saúde;;;False
1;10;Intervenções em processos psicossociais;;;True
2;11;Fundamentos epistemológicos e históricos da Psicologia;Intervenções em atenção e promoção da saúde;;True
3;12;Fundamentos, métodos e técnicas de investigação científica;Processos psicológicos básicos;;True
4;13;Processos de avaliação psicológica;Ética no exercício profissional;;True
5;14;Processos psicopatológicos;;;True
6;15;Processos grupais;Processos educativos;;True
7;16;Intervenções em atenção e promoção da saúde;Intervenções em processos psicossociais;;True
8;17;Intervenções em processos organizacionais e de gestão de pessoas;Intervenções em saúde e bem-estar do trabalhador;;True
9;18;Intervenções em processos psicossociais;;;True
10;19;Intervenções em processos psicossociais;;;True
11;20;Intervenções em processos psicossociais;;;True
12;21;Ética no exercício profissional;;;True
13;22;Processos educativos;Desenvolvimento humano e processos de aprendizagem;;True
14;23;Processos educativos;Intervenções em processos educativos;;True
15;24;Processos clínicos;;;False
16;25;Processos clínicos;Relações étnico-raciais;;False
17;26;Desenvolvimento humano e processos de aprendizagem;;;True
18;27;Bases biológicas do comportamento humano;Processos psicológicos básicos;;True
19;28;Processos psicopatológicos;;;True
20;29;Fundamentos epistemológicos e históricos da Psicologia;Ética no exercício profissional;;True
21;30;Relações étnico-raciais;;;True
22;31;Intervenções em processos psicossociais;;;True
23;32;Intervenções em processos psicossociais;;;True
24;33;Processos educativos;Desenvolvimento humano e processos de aprendizagem;;True
25;34;Intervenções em atenção e promoção da saúde;;;True
26;35;Fundamentos epistemológicos e históricos da Psicologia;;;True
