;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Tecnologias da Comunicação;Legislação e ética profissional;;True
1;10;Tecnologias da Comunicação;Marketing e Gestão de Marcas;;True
2;11;Teorias da Comunicação;;;True
3;12;Linguagens da Comunicação;;;True
4;13;Gestão e resultados em Publicidade e Propaganda;;;True
5;14;Planejamento de Mídia e de Pontos de Contato;;;True
6;15;Produção Audiovisual, Digital, Fotográfica, Gráfica e Sonora;;;True
7;16;Marketing e Gestão de Marcas;;;True
8;17;Direção de Arte;;;True
9;18;Gestão e resultados em Publicidade e Propaganda;;;True
10;19;Legislação e ética profissional;;;False
11;20;Direção de Arte;;;True
12;21;Produção Audiovisual, Digital, Fotográfica, Gráfica e Sonora;;;True
13;22;Linguagens da Comunicação;;;True
14;23;Planejamento de Mídia e de Pontos de Contato;;;True
15;24;Legislação e ética profissional;;;False
16;25;Pesquisa de Mercado e Comportamento do Consumidor;;;False
17;26;Planejamento de Mídia e de Pontos de Contato;;;True
18;27;Tecnologias da Comunicação;Marketing e Gestão de Marcas;;True
19;28;Produção Audiovisual, Digital, Fotográfica, Gráfica e Sonora;;;True
20;29;Metodologia e Pesquisa em Comunicação;;;False
21;30;Produção Audiovisual, Digital, Fotográfica, Gráfica e Sonora;;;True
22;31;Estética da Comunicação;;;True
23;32;Sociologia da Comunicação;;;True
24;33;Produção Audiovisual, Digital, Fotográfica, Gráfica e Sonora;;;False
25;34;Teorias da Comunicação;;;True
26;35;Planejamento e ferramentas de Comunicação Integrada;;;True
