;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Análise do sistema capitalista segundo as perspectivas liberal, marxista, socialdemocrata e neoliberal;;;True
1;10;Serviço Social e o processo de produção e reprodução das relações sociais;;;True
2;11;Análise do sistema capitalista segundo as perspectivas liberal, marxista, socialdemocrata e neoliberal;;;True
3;12;Serviço Social e o processo de produção e reprodução das relações sociais;;;True
4;13;Fundamentos históricos, teóricos, metodológicos, regulamentação profissional e o Projeto Ético-Político do Serviço Social;;;True
5;14;Movimentos sociais e lutas contra opressões de classe, de gênero, étnico-raciais, de sexualidade, geracionais e por deficiência;;;True
6;15;Movimentos sociais e lutas contra opressões de classe, de gênero, étnico-raciais, de sexualidade, geracionais e por deficiência;;;True
7;16;Fundo público e financiamento das políticas sociais;;;False
8;17;Cidadania, direitos e legislação social;;;True
9;18;Transformações contemporâneas no mundo do trabalho e seus rebatimentos no trabalho da(o) assistente social;;;True
10;19;Transformações contemporâneas no mundo do trabalho e seus rebatimentos no trabalho da(o) assistente social;;;True
11;20;Transformações contemporâneas no mundo do trabalho e seus rebatimentos no trabalho da(o) assistente social;;;True
12;21;Instrumentalidade do Serviço Social: dimensão teórico-metodológica, ético-política e técnico-operativa;;;True
13;22;Produção de conhecimento, pesquisa e indicadores sociais;;;True
14;23;Instrumentalidade do Serviço Social: dimensão teórico-metodológica, ético-política e técnico-operativa;;;True
15;24;Estado laico, Direitos Humanos, fundamentalismo religioso e conservadorismos contemporâneos;;;False
16;25;Produção de conhecimento, pesquisa e indicadores sociais;;;False
17;26;Fundamentos históricos, teóricos, metodológicos, regulamentação profissional e o Projeto Ético-Político do Serviço Social;;;True
18;27;Estado, democracia, participação e controle social;;;True
19;28;Produção de conhecimento, pesquisa e indicadores sociais;;;True
20;29;Inserção do Brasil na divisão internacional do trabalho: desenvolvimento desigual e combinado;;;True
21;30;Financeirização do capital, contrarreformas do Estado, políticas sociais e seguridade social;;;True
22;31;Estado, questão social e Serviço Social;;;True
23;32;Assistente social como trabalhador(a) assalariado(a) e sua inserção nos diferentes espaços sócio-ocupacionais;;;True
24;33;Cidadania, direitos e legislação social;;;True
25;34;Transformações contemporâneas no mundo do trabalho e seus rebatimentos no trabalho da(o) assistente social;;;True
26;35;Assistente social como trabalhador(a) assalariado(a) e sua inserção nos diferentes espaços sócio-ocupacionais;;;True
