;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;"Políticas públicas do Turismo e legislação 
específica";;;False
1;10;Patrimônio natural e cultural;Diversidade, inclusão e acessibilidade em Turismo;;True
2;11;Patrimônio natural e cultural;Dimensões da sustentabilidade em destinos e empreendimentos turísticos;;True
3;12;Patrimônio natural e cultural;;;True
4;13;Patrimônio natural e cultural;Organização e produção do espaço turístico;;True
5;14;Marketing e segmentação turística;As relações entre oferta e demanda no mercado turístico;;True
6;15;Planejamento, organização e gestão estratégica e participativa de destinos e organizações turísticas;Turismo e desenvolvimento(s) local, regional, nacional e/ou internacional;;True
7;16;Planejamento, organização e gestão estratégica e participativa de destinos e organizações turísticas;Políticas públicas do Turismo e legislação específica;;True
8;17;Políticas públicas do Turismo e legislação específica;Marketing e segmentação turística;;True
9;18;Planejamento, gestão e operação de serviços em gastronomia, eventos, meios de hospedagem, agenciamento, transportes e lazer;;;False
10;19;As relações entre oferta e demanda no mercado turístico;;;False
11;20;Novas tecnologias de informação e distribuição do produto turístico;;;True
12;21;Ética e responsabilidade socioambiental no Turismo;;;False
13;22;Planejamento, gestão e operação de serviços em gastronomia, eventos, meios de hospedagem, agenciamento, transportes e lazer;;;True
14;23;Políticas públicas do Turismo e legislação específica;Planejamento, gestão e operação de serviços em gastronomia, eventos, meios de hospedagem, agenciamento, transportes e lazer;;True
15;24;Políticas públicas do Turismo e legislação específica;Planejamento, gestão e operação de serviços em gastronomia, eventos, meios de hospedagem, agenciamento, transportes e lazer;;True
16;25;Métodos e técnicas de pesquisa em Turismo;;;False
17;26;Novas tecnologias de informação e distribuição do produto turístico;;;True
18;27;Métodos e técnicas de pesquisa em Turismo;Novas tecnologias de informação e distribuição do produto turístico;;True
19;28;As relações entre oferta e demanda no mercado turístico;Novas tecnologias de informação e distribuição do produto turístico;;True
20;29;As relações entre oferta e demanda no mercado turístico;Cenários e tendências do Turismo;;True
21;30;Ética e responsabilidade na atividade turística;Diversidade, inclusão e acessibilidade em Turismo;;True
22;31;Planejamento, gestão e operação de serviços em gastronomia, eventos, meios de hospedagem, agenciamento, transportes e lazer;;;False
23;32;Cenários e tendências do Turismo;Dimensões da sustentabilidade em destinos e empreendimentos turísticos;;True
24;33;Ética e responsabilidade na atividade turística;Diversidade, inclusão e acessibilidade em Turismo;;True
25;34;Cenários e tendências do Turismo;Teorias do Turismo, Lazer e Hospitalidade;;True
26;35;Turismo e desenvolvimento(s) local, regional, nacional e/ou internacional;Cenários e tendências do Turismo;;True
