1;Universidade Federal De Mato Grosso (UFMT)
2;Universidade De Brasília (UNB)
3;Universidade Federal De Sergipe (UFS)
4;Universidade Federal Do Amazonas (UFAM)
5;Universidade Federal Do Piauí (UFPI)
6;Universidade Federal De Ouro Preto (UFOP)
7;Universidade Federal De São Carlos (UFSCAR)
8;Universidade Federal De Viçosa (UFV)
9;Universidade Estadual De Londrina (UEL)
10;Pontifícia Universidade Católica Do Paraná (PUCPR)
11;Universidade Católica De Pernambuco (UNICAP)
12;Universidade Federal Do Rio Grande (FURG)
13;Universidade De Caxias Do Sul (UCS)
14;Universidade Do Vale Do Rio Dos Sinos (UNISINOS)
15;Faculdade De Ensino Superior Do Centro Do Paraná (UCP)
17;Universidade Federal De Uberlândia (UFU)
18;Universidade Católica De Pelotas (UCPEL)
19;Pontifícia Universidade Católica De Campinas (PUC-CAMPINAS)
20;Universidade De Passo Fundo (UPF)
21;Pontifícia Universidade Católica Do Rio Grande Do Sul (PUCRS)
22;Universidade Presbiteriana Mackenzie (MACKENZIE)
23;Universidade Feevale (FEEVALE)
24;Universidade Estadual De Santa Cruz (UESC)
29;Universidade Estadual Do Ceará (UECE)
30;Universidade José Do Rosário Vellano (UNIFENAS)
40;Universidade Do Estado Da Bahia (UNEB)
43;Fundação Universidade Do Estado De Santa Catarina (UDESC)
47;Universidade Estadual De Goiás (UEG)
54;Universidade Estadual De Campinas (UNICAMP)
56;Universidade Estadual Paulista Júlio De Mesquita Filho (UNESP)
57;Universidade Estadual De Maringá (UEM)
71;Universidade Do Estado Do Rio Grande Do Norte (UERN)
76;Universidade Regional De Blumenau (FURB)
81;Universidade Da Região De Joinville (UNIVILLE)
82;Universidade Do Oeste De Santa Catarina (UNOESC)
83;Universidade Do Vale Do Itajaí (UNIVALI)
95;Universidade Veiga De Almeida (UVA)
107;Universidade Federal De São João Del Rei (UFSJ)
124;Universidade De Araraquara (UNIARA)
140;Universidade De Vassouras (0)
143;Universidade De Uberaba (UNIUBE)
150;Universidade De Sorocaba (UNISO)
163;Universidade Estácio De Sá (UNESA)
165;Universidade Veiga De Almeida (UVA)
167;Universidade Metodista De São Paulo (UMESP)
176;Universidade Católica De Brasília (UCB)
203;Universidade São Judas Tadeu (USJT)
208;Universidade De Ribeirão Preto (UNAERP)
221;Universidade Cruzeiro Do Sul (UNICSUL)
227;Universidade Católica De Santos (UNISANTOS)
266;Universidade Metodista De Piracicaba (UNIMEP)
271;Universidade Do Oeste Paulista (UNOESTE)
275;Universidade Do Vale Do Paraíba (UNIVAP)
295;Universidade De Santa Cruz Do Sul (UNISC)
298;Universidade Pitágoras Unopar Anhanguera (0)
316;Universidade Nove De Julho (UNINOVE)
319;Universidade Brasil (UB)
322;Universidade Paulista (UNIP)
330;Universidade Iguaçu (UNIG)
338;Pontifícia Universidade Católica De Minas Gerais (PUC MINAS)
355;Universidade Tuiuti Do Paraná (UTP)
367;Universidade Estadual De Montes Claros (UNIMONTES)
375;Universidade Santo Amaro (UNISA)
