QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Finanças
10;Teorias da Administração e das Organizações;Sistemas de Informação e Tecnologias da Informação e Comunicaçã o
11;Teorias da Administração e das Organizações;Antropologia, Sociologia, Ciência Política, Filosofia e Ética
12;Antropologia, Sociologia, Ciência Política, Filosofia e Ética;Sustentabilidade Social Corporativa
13;Teorias da Administração e das Organizações
14;Gestão de Pessoas
15;Métodos quantitativos aplicados à Administração
16;Planejamento e Gestão Estratégica
17;Ciências jurídicas, econômicas e contábeis
18;Sustentabilidade e responsabilidade social corporativa
19;Mercado e Marketing;Planejamento e Gestão Estratégica
20;Operações, Logística e Gestão da Qualidade;Sustentabilidade
21;Gestão de Projetos e Gestão de Processos e Serviços
22;Planejamento e gestão estratégica
23;Sustentabilidade e Responsabilidade Social Corporativa
24;Métodos Qu antitativos aplicados à Administração
25;Ciências Jurídicas, Econômicas e Contábeis
26;Ciências Jurídicas, Econômicas e Contábeis
27;Planejamento e Gestão Estratégica;Mercado e Marketing
28;Gestão de Projetos e Gestão de Processos e Serviços
29;Sistema de informação e tecnologia de informação e comunicação
30;Métodos Qu alitativos aplicados à Administração
31;Gestão da Inovação, Gestão do Conhecimento e Empreendedorismo
32;Gestão da Inovação, Gestão do Conhecimento e Empreendedorismo
33;Gestão da Inovação, Gestão do Conhecimento e Empreendedorismo
34;Gestão de Pessoas
35;Gestão de Pessoas
