;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;10;Recursos florestais;Zootecnia;;True
1;11;Solos;;;True
2;12;Legislação aplicada;Fitossanidade;;True
3;13;Fitossanidade;;;True
4;14;Genética e melhoramento;Fitossanidade;;True
5;15;Agroecologia e agricultura orgânica;Fitotecnia;;True
6;16;Solos;Fisiologia vegetal e animal;;True
7;17;Fitotecnia;Fisiologia vegetal e animal;;True
8;18;Legislação aplicada;Fitossanidade;;True
9;19;Tecnologia e processamento de produtos agropecuários;Sistemas agroindustriais;;True
10;20;Fitotecnia;Engenharia rural;;True
11;21;Agroecologia e agricultura orgânica;Fitotecnia;;False
12;22;Tecnologia e processamento de produtos agropecuários;Fisiologia vegetal e animal;;False
13;23;Zootecnia;;;True
14;24;Fitossanidade;Fitotecnia;;True
15;25;Genética e melhoramento;Extensão e desenvolvimento rural;;True
16;26;Metodologia científica e experimentação agrícola;Fitotecnia;;True
17;27;Extensão e desenvolvimento rural;;;True
18;28;Engenharia rural;;;True
19;29;Fitossanidade;Ecologia e manejo ambiental;;True
20;30;Zootecnia;;;True
21;31;Fitotecnia;;;True
22;32;Engenharia rural;;;True
23;33;Economia e administração;;;False
24;34;Engenharia rural;;;True
25;35;Recursos florestais;Fitotecnia;;True
26;36;Legislação aplicada;;;True
27;37;Solos;;;True
28;38;Engenharia rural;;;False
