 Ano; Código da IES; Nome da IES; Sigla da IES; Organização Acadêmica; Categoria Administrativa; Código do Curso; Código da Área; Área de Avaliação; Modalidade de Ensino; Código do Município; Município do Curso; Sigla da UF; Nº de Concluintes Inscritos; Nº de Concluintes Participantes; Nota Bruta - FG; Nota Padronizada - FG; Nota Bruta - CE; Nota Padronizada - CE; Conceito Enade (Contínuo); Concluintes participantes com nota no Enem; Proporção de concluintes participantes com nota no Enem; Nota Bruta - IDD; Nota Padronizada - IDD; Nota Bruta – Organização Didático-Pedagógica; Nota Padronizada - Organização Didático-Pedagógica; Nota Bruta – Infraestrutura e Instalações Físicas; Nota Padronizada - Infraestrutura e Instalações Físicas; Nota Bruta – Oportunidade de Ampliação da Formação; Nota Padronizada - Oportunidade de Ampliação da Formação; Nota Bruta - Mestres; Nota Padronizada - Mestres; Nota Bruta - Doutores; Nota Padronizada - Doutores; Nota Bruta – Regime de Trabalho; Nota Padronizada - Regime de Trabalho; CPC (Contínuo); CPC (Faixa)
2023;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pública Federal;3;5710;ENGENHARIA CIVIL;Educação Presencial;5103403;Cuiabá;MT;33;31;60,93548387;3,939283693;59,1516129;4,490015307;4,352;31;1;7,439649618;4,207;3,42495927;0;3,709733815;0,019;3,103225806;0,682;0,840909091;3,33;0,590909091;2,955;1;5;3,429;4
2023;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pública Federal;9;17;AGRONOMIA;Educação Presencial;5103403;Cuiabá;MT;42;36;56,01388889;3,972046777;60,475;3,779159724;3,827;35;0,972222222;2,772555648;3,316;4,67465471;0,954;4,438242313;1,466;4,357142857;2,143;0,955882353;4,206;0,897058824;4,449;1;5;3,482;4
2023;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pública Federal;10;6405;ENGENHARIA FLORESTAL;Educação Presencial;5103403;Cuiabá;MT;13;11;59,96363636;4,563992521;40,94545455;2,177520815;2,774;11;1;0,288870663;2,658;4,786435786;1,333;4,890588578;2,431;4,594444444;2,468;0,944444444;3,389;0,925925926;4,444;1;5;3,064;4
2023;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pública Federal;12;12;MEDICINA;Educação Presencial;5103403;Cuiabá;MT;78;78;73,05128205;4,034586731;68,23076923;3,310907914;3,492;76;0,974358974;-1,136657718;1,934;5,230286913;2,925;5,220884884;3,326;4,889316239;3,153;0,722222222;3,043;0,490740741;2,324;1;5;2,792;3
2023;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pública Federal;16;5806;ENGENHARIA ELÉTRICA;Educação Presencial;5103403;Cuiabá;MT;28;23;56,86521739;3,443126921;49,39130435;4,425191816;4,18;10;0,434782609;3,720816543;4,404;4,975811583;2,928;5,091642925;3,206;4,945061728;3,523;0,978723404;4,681;0,893617021;4,468;1;5;4,242;5
2023;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pública Federal;17;23;ENFERMAGEM;Educação Presencial;5103403;Cuiabá;MT;46;43;57,04418605;3,653900937;66,41395349;3,910117772;3,846;43;1;4,120643784;3,562;5,255617867;2,62;4,81696334;2,173;4,861742424;3,143;0,93877551;4,475;0,897959184;4,49;1;5;3,784;4
2023;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pública Federal;20;28;NUTRIÇÃO;Educação Presencial;5103403;Cuiabá;MT;27;27;58,83333333;4,10485211;59,05555556;3,945435521;3,985;27;1;0,990889144;3,023;4,87339204;1,883;4,83357075;2,114;4,559259259;2,87;0,956521739;4,457;0,782608696;3,913;1;5;3,47;4
2023;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pública Federal;37;5;MEDICINA VETERINÁRIA;Educação Presencial;5103403;Cuiabá;MT;23;21;56,51904762;3,513451634;56,70952381;3,627752206;3,599;21;1;-0,799460565;2,08;4,624237966;1,455;4,600638492;2,045;4,239130435;2,293;0,954545455;4,318;0,931818182;4,621;1;5;3,109;4
2023;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pública Federal;44;21;ARQUITETURA E URBANISMO;Educação Presencial;5103403;Cuiabá;MT;30;25;65,824;4,064420651;69,536;4,233084853;4,191;24;0,96;1,914345033;3,488;5,139655565;2,64;4,299091713;1,396;4,850574713;3,44;0,888888889;3,75;0,583333333;2,917;1;5;3,507;4
2023;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pública Federal;132;21;ARQUITETURA E URBANISMO;Educação Presencial;5300108;Brasília;DF;163;135;67,2762963;4,251666656;69,46592593;4,22433254;4,231;127;0,940740741;3,421481321;4,144;5,311189598;3,111;5,02452169;2,933;5,204545455;3,92;0,993074792;4,922;0,900277008;4,501;1;5;4,194;5
2023;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pública Federal;135;17;AGRONOMIA;Educação Presencial;5300108;Brasília;DF;105;91;54,81098901;3,78823532;55,66593407;3,149550996;3,309;86;0,945054945;-1,358489074;2,071;5,51423045;3,517;5,493701334;3,854;5,354255319;3,877;0,99483871;4,907;0,922580645;4,585;1;5;3,371;4
2023;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pública Federal;136;5710;ENGENHARIA CIVIL;Educação Presencial;5300108;Brasília;DF;77;62;67,25645161;4,731384914;60,32903226;4,611682388;4,642;58;0,935483871;8,862236605;4,589;5,476168195;3,829;5,531423968;3,981;5,301470588;3,959;0,992795389;4,924;0,914985591;4,575;1;5;4,55;5
2023;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pública Federal;137;5806;ENGENHARIA ELÉTRICA;Educação Presencial;5300108;Brasília;DF;105;79;60,46835443;3,928397903;47,11772152;4,0908414;4,05;74;0,936708861;2,871611285;3,987;4,937000909;2,849;5,094342405;3,212;5,304674797;4,027;0,994936709;4,924;0,924050633;4,62;1;5;4,118;5
2023;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pública Federal;138;5902;ENGENHARIA MECÂNICA;Educação Presencial;5300108;Brasília;DF;76;64;60,1828125;3,857397611;56,3875;5;4,714;58;0,90625;6,295221122;4,763;5,163609894;3,095;5,175220531;3,282;5,03627451;3,663;0,993074792;4,917;0,904432133;4,522;1;5;4,52;5
2023;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pública Federal;139;6405;ENGENHARIA FLORESTAL;Educação Presencial;5300108;Brasília;DF;86;69;57,23768116;4,12613096;45,22318841;2,742918698;3,089;66;0,956521739;-1,533368873;1,882;5,010315324;2,022;5,072698135;2,868;4,262280702;1,798;0,994011976;4,826;0,914670659;4,36;1;5;3,007;4
2023;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pública Federal;140;12;MEDICINA;Educação Presencial;5300108;Brasília;DF;85;80;72,87625;4,001753384;73,52625;4,248371316;4,187;75;0,9375;3,744863447;3,538;4,560035025;1,118;4,448205128;1,665;4,149019608;1,921;0,98536036;4,897;0,880630631;4,373;1;5;3,689;4
