;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;10;História da enfermagem e legislação;;;True
1;11;Aspectos morfofisiológicos do ser humano;Cuidados de enfermagem ao paciente clínico, cirúrgico e crítico;;True
2;12;Semiologia e semiotécnica no ciclo vital e biossegurança;Cuidados de enfermagem ao paciente clínico, cirúrgico e crítico;;True
3;13;Qualidade do cuidado e Segurança do paciente;;;True
4;14;Cuidados de enfermagem ao paciente clínico, cirúrgico e crítico;;;True
5;15;Bioética e dilemas éticos;;;True
6;16;Epidemiologia em saúde;Semiologia e semiotécnica no ciclo vital e biossegurança;;True
7;17;Processo de enfermagem;Tecnologias do cuidado;;False
8;18;Cuidados de enfermagem em situações de urgência e emergência;;;True
9;19;Cuidados de enfermagem em situações de urgência e emergência;;;True
10;20;Semiologia e semiotécnica no ciclo vital e biossegurança;Educação, pesquisa em saúde e enfermagem;;True
11;21;Semiologia e semiotécnica no ciclo vital e biossegurança;Processo de enfermagem;;True
12;22;Aspectos morfofisiológicos do ser humano;Semiologia e semiotécnica no ciclo vital e biossegurança;;True
13;23;Semiologia e semiotécnica no ciclo vital e biossegurança;Processo de enfermagem;;True
14;24;Gestão dos serviços e sistemas de saúde;Saúde ambiental e vigilância em saúde;;True
15;25;Atenção integral à saúde do indivíduo e das populações;;;True
16;26;Atenção integral à saúde do indivíduo e das populações;Indicadores de saúde;;True
17;27;Saúde mental e atenção psicossocial;SUS: políticas de saúde e redes de atenção;;True
18;28;Atenção integral à saúde do indivíduo e das populações;Indicadores de saúde;;True
19;29;Qualidade do cuidado e Segurança do paciente;Atenção integral à saúde do indivíduo e das populações;;True
20;30;"Educação, pesquisa em saúde e enfermagem;";Atenção integral à saúde do indivíduo e das populações;;True
21;31;Epidemiologia em saúde;Saúde ambiental e vigilância em saúde;;True
22;32;SUS: políticas de saúde e redes de atenção;Gestão dos serviços e sistemas de saúde;;True
23;33;Diagnóstico situacional e territorialização;SUS: políticas de saúde e redes de atenção;;True
24;34;Cuidados paliativos;Saúde mental e atenção psicossocial;;True
25;35;Atenção integral à saúde do indivíduo e das populações;;;True
26;36;Processo de enfermagem;Cuidados de enfermagem ao paciente clínico, cirúrgico e crítico;;True
27;37;Saúde mental e atenção psicossocial;;;True
28;38;Tecnologias do cuidado;Atenção integral à saúde do indivíduo e das populações;;True
