;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;10;Controle e gestão da qualidade; Legislação e higiene na indústria de alimentos;;True
1;11;Conservação e processamento de alimentos;;;True
2;12;Ciências do ambiente e tratamento de resíduos da indústria de alimentos;Bioengenharia e biotecnologia de alimentos;;False
3;13;Modelagem, análise e simulação de sistemas;Algoritmos e programação;;True
4;14;Projetos de indústrias de alimentos e desenho universal;Administração e Economia;;False
5;15;Bioengenharia e biotecnologia de alimentos;Operações unitárias;;True
6;16;Química e bioquímica de alimentos;Análise de alimentos;;False
7;17;Físicoquímica e termodinâmica aplicada;Operações unitárias;;True
8;18;Matemática e Estatística;Metodologia científica e tecnológica;;True
9;19;Legislação e higiene na indústria de alimentos;Microbiologia de alimentos;;True
10;20;Análise sensorial;Matemática e Estatística;;True
11;21;Instrumentação, controle e automação;Operações unitárias;;True
12;22;Embalagens;Ciência dos materiais e mecânica dos sólidos;;True
13;23;Microbiologia de alimentos;Conservação e processamento de alimentos;;True
14;24;Microbiologia de alimentos;Operações unitárias;;False
15;25;Tecnologias limpas e novas tecnologias;Conservação e processamento de alimentos;;True
16;26;Fenômenos de transporte;Operações unitárias;;True
17;27;Controle e gestão da qualidade;Metodologia científica e tecnológica;;True
18;28;Química e bioquímica de alimentos;Conservação e processamento de alimentos;;True
19;29;Conservação e processamento de alimentos;Química e bioquímica de alimentos;;True
20;30;Fenômenos de transporte;Matemática e Estatística;;True
21;31;Conservação e processamento de alimentos;Físicoquímica e termodinâmica aplicada;;True
22;32;Conservação e processamento de alimentos;Química e bioquímica de alimentos;;True
23;33;Nutrição básica e toxicologia;Química e bioquímica de alimentos;;True
24;34;Instrumentação, controle e automação;Fenômenos de transporte;;True
25;35;Ciências naturais aplicadas à Engenharia;Química e bioquímica de alimentos;;True
26;36;Análise de alimentos;;;True
27;37;Físicoquímica e termodinâmica aplicada;;;True
28;38;Administração e Economia;Projetos de indústrias de alimentos e desenho universal;;True
