;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;10;Eletricidade aplicada à Engenharia Civil;;;False
1;11;Recursos hídricos e saneamento;;;True
2;12;Recursos hídricos e saneamento;;;True
3;13;Construção civil;;;True
4;14;Construção civil;;;True
5;15;Geotecnia;;;True
6;16;Construção civil;;;True
7;17;Fenômenos de transporte;;;True
8;18;Transportes;;;True
9;19;Estruturas;;;False
10;20;Estruturas;;;True
11;21;Geotecnia;;;True
12;22;Recursos hídricos e saneamento;;;True
13;23;Administração e Economia aplicadas à Engenharia Civil;;;False
14;24;Construção civil;;;True
15;25;Expressão gráfica e desenho universal;;;True
16;26;Transportes;;;False
17;27;Estatística, física, matemática e química aplicadas à Engenharia Civil;;;True
18;28;Transportes;;;True
19;29;Estruturas;;;True
20;30;Geotecnia;;;False
21;31;Transportes;;;True
22;32;Recursos hídricos e saneamento;;;True
23;33;Geotecnia;;;True
24;34;Ciências do ambiente;;;True
25;35;Estruturas;;;True
26;36;Informática, algoritmos e programação;;;True
27;37;Topografia e geoprocessamento;;;True
28;38;Ciência dos materiais;;;False
