;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;10;Circuitos elétricos;Conversão de energia;;True
1;11;Máquinas elétricas;Ciências naturais aplicadas à Engenharia Elétrica;;True
2;12;Ciências do ambiente;;;True
3;13;Eletromagnetismo;;;True
4;14;Sistemas lineares;;;True
5;15;Sensores e instrumentação eletrônica;;;True
6;16;Sistemas de controle e automação;;;True
7;17;Ciências naturais aplicadas à Engenharia Elétrica;Ciências naturais aplicadas à Engenharia Elétrica;;True
8;18;Dispositivos e circuitos eletrônicos;;;False
9;19;Conversão de energia;;;False
10;20;Análise e processamento de sinais;;;True
11;21;Materiais elétricos e magnéticos;Eletromagnetismo;;True
12;22;Sistemas digitais;;;True
13;23;Circuitos elétricos;;;False
14;24;Fundamentos de sistemas elétricos de potência;;;True
15;25;Eficiência energética;Administração e Economia;;False
16;26;Eficiência energética;Instalações elétricas;;True
17;27;Redes de comunicação;;;True
18;28;Princípios de comunicações;;;True
19;29;Análise e processamento de sinais;;;False
20;30;Sistemas de controle e automação;Sistemas lineares;;False
21;31;Instalações elétricas;;;True
22;32;Fundamentos de sistemas elétricos de potência;;;False
23;33;Algoritmos e estruturas de dados;;;True
24;34;Eletrônica de potência;;;True
25;35;Administração e Economia;;;True
26;36;Sistemas digitais;Sensores e instrumentação eletrônica;;True
27;37;Eletrônica de potência;;;False
28;38;Probabilidade e Estatística;;;True
