;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;10;Processos de fabricação;;;
1;11;Materiais de construção mecânica;;;
2;12;Mecânica dos fluidos e sistemas fluidomecânicos;;;
3;13;Mecânica dos fluidos e sistemas fluidomecânicos;;;
4;14;Transferência de calor e massa;;;
5;15;Transferência de calor e massa;;;
6;16;Termodinâmica e Sistemas térmicos;;;
7;17;Instrumentação e Controle;;;
8;18;Modelagem matemática e simulação computacional;;;
9;19;Segurança e saúde no trabalho;;;
10;20;Mecânica geral e mecânica dos sólidos;;;
11;21;Mecânica geral e mecânica dos sólidos;;;
12;22;Mecanismos;;;
13;23;Projeto de máquinas e de Sistemas mecânicos;;;
14;24;Dinâmica de máquinas e de sistemas mecânicos;;;
15;25;Dinâmica de máquinas e de sistemas mecânicos;;;
16;26;Administração e Economia;Empreendedorismo;;
17;27;Metrologia;;;
18;28;Química;;;
19;29;Ciência dos materiais;;;
20;30;Termodinâmica e sistemas térmicos;;;
21;31;Processos de fabricação;;;
22;32;Empreendedorismo;;;
23;33;Manutenção;;;
24;34;Processos de fabricação;;;
25;35;Expressão gráfica;;;
26;36;Ciência dos materiais;;;
27;37;Ciências do ambiente;;;
28;38;Eletricidade;Manutenção;;
