;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;10;Saúde pública, epidemiologia e educação em saúde;Farmacologia;;True
1;11;Análises clínicas;;;True
2;12;Farmácia comunitária;Farmacologia;;True
3;13;Tecnologia de medicamentos, cosméticos e outros produtos para saúde;;;True
4;14;Farmácia clínica;;;True
5;15;Genética, biologia molecular e biotecnologia;;;True
6;16;Saúde pública, epidemiologia e educação em saúde;;;True
7;17;Farmacoepidemiologia e farmacovigilância;;;True
8;18;Tecnologia de medicamentos, cosméticos e outros produtos para saúde;;;True
9;19;Controle físicoquímico, biológico e microbiológico e garantia da qualidade;;;True
10;20;Tecnologia de medicamentos, cosméticos e outros produtos para saúde;;;True
11;21;Farmácia magistral alopática e homeopática;;;True
12;22;Tecnologia de medicamentos, cosméticos e outros produtos para saúde;Farmácia magistral alopática e homeopática;;False
13;23;Tecnologia de medicamentos, cosméticos e outros produtos para saúde;;;True
14;24;Farmacognosia e fitoterapia;;;True
15;25;Farmacognosia e fitoterapia;;;True
16;26;Química farmacêutica e medicinal;;;True
17;27;Farmácia clínica;;;True
18;28;Farmacologia;;;False
19;29;Farmácia comunitária;Legislação sanitária e profissional;;True
20;30;Tecnologia de medicamentos, cosméticos e outros produtos para saúde;Farmácia magistral alopática e homeopática;;True
21;31;Toxicologia e análises toxicológicas;;;True
22;32;Processos fisiológicos, patológicos,fisiopatológicos e bioquímicos;;;True
23;33;Química farmacêutica e medicinal ;Tecnologia de medicamentos, cosméticos e outros produtos para saúde;;True
24;34;Assistência farmacêutica;;;True
25;35;Gestão farmacêutica e farmacoeconomia;;;True
26;36;Serviços farmacêuticos;Farmácia comunitária;;True
27;37; Serviços farmacêuticos;Segurança do paciente e biossegurança;;True
28;38;Farmacologia;;;True
