;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;10;Morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia;Medicina veterinária preventiva e saúde pública;;False
1;11;Morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia;Clínica e cirurgia veterinária;;True
2;12;Morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia;Ecologia, meio ambiente e sustentabilidade;;False
3;13;Morfofisiologia, genética, bioquímica, biofísica,microbiologia, imunologia, arasitologia e farmacologia;;;True
4;14;Morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia;Clínica e cirurgia veterinária;;True
5;15;Administração, economia, agronegócio e empreendedorismo;Ecologia, meio ambiente e sustentabilidade;;False
6;16;Morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia;Medicina veterinária preventiva e saúde pública;;True
7;17;Morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia;Clínica e cirurgia veterinária;;False
8;18;Medicina veterinária preventiva e saúde pública;;;True
9;19;Medicina veterinária preventiva e saúde pública;;;True
10;20;Clínica e cirurgia veterinária;;;True
11;21;Administração, economia, agronegócio e empreendedorismo;Sanidade e produção animal;;True
12;22;Tecnologia e inspeção dos produtos de origem animal;Medicina veterinária preventiva e saúde pública;;True
13;23;Etologia e bemestar animal;Ecologia, meio ambiente e sustentabilidade;;True
14;24;Sanidade e produção animal;Medicina veterinária preventiva e saúde pública;;True
15;25;Morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia;Administração, economia, agronegócio e empreendedorismo;Ecologia, meio ambiente e sustentabilidade;True
16;26;Administração, economia, agronegócio e empreendedorismo;Sanidade e produção animal;;False
17;27;Morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia;Clínica e cirurgia veterinária;;True
18;28;Clínica e cirurgia veterinária;;;False
19;29;Morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia;Clínica e cirurgia veterinária;Sanidade e produção animal;True
20;30;Morfofisiologia, genética, bioquímica, biofísica, microbiologia, imunologia, parasitologia e farmacologia;Clínica e cirurgia veterinária;;True
21;31;Clínica e cirurgia veterinária;Medicina veterinária preventiva e saúde pública;Sanidade e produção animal;True
22;32;Clínica e cirurgia veterinária;Etologia e bemestar animal;;False
23;33;Sanidade e produção animal;Reprodução animal;;True
24;34;Ciências humanas e sociais, ética e legislação veterinária;Tecnologia e inspeção dos produtos de origem animal;Medicina veterinária preventiva e saúde pública;False
25;35;Ciências humanas e sociais, ética e legislação veterinária;;;True
26;36;Tecnologia e inspeção dos produtos de origem animal;Medicina veterinária preventiva e saúde pública;;True
27;37;Sanidade e produção animal;Reprodução animal;;True
28;38;Medicina veterinária preventiva e saúde pública;;;True
