;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;10;Clínica Médica;;;True
1;11;Clínica Médica;;;True
2;12;Clínica Médica;;;True
3;13;Clínica Médica;Urgência e Emergência;Medicina de Família e Comunidade;True
4;14;Clínica Médica;Urgência e Emergência;;True
5;15;Medicina de Família e Comunidade;Saúde Coletiva.;;True
6;16;Ginecologia e Obstetrícia ;Medicina de Família e Comunidade;;True
7;17;Pediatria;Urgência e Emergência;;True
8;18;Urgência e Emergência;Cirurgia;;True
9;19;Saúde Mental;Urgência e Emergência;;True
10;20;Saúde Mental;Medicina de Família e Comunidade;;True
11;21;Clínica Médica;Medicina de Família e Comunidade;;False
12;22;Medicina de Família e Comunidade;Pediatria;;True
13;23;Ginecologia e Obstetrícia ;;;True
14;24;Pediatria;;;True
15;25;Pediatria;;;True
16;26;Pediatria;;;True
17;27;Ginecologia e Obstetrícia ;Pediatria;;True
18;28;Urgência e Emergência;Cirurgia;;True
19;29;Cirurgia;;;False
20;30;Ginecologia e Obstetrícia ;Urgência e Emergência;;True
21;31;Ginecologia e Obstetrícia ;Medicina de Família e Comunidade;;True
22;32;Cirurgia;Urgência e Emergência;Clínica Médica;True
23;33;Cirurgia;Urgência e Emergência;;True
24;34;Cirurgia;;;True
25;35;Ginecologia e Obstetrícia ;Medicina de Família e Comunidade;;True
26;36;Clínica Médica;;;True
27;37;Clínica Médica;Saúde Mental;;True
28;38;Clínica Médica;Urgência e Emergência;;True
