;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;10;Educação alimentar e nutricional;Necessidades e recomendações nutricionais nas diferentes fases da vida;;True
1;11;Elaborar cardápios e/ou realizar prescrição dietética para indivíduos e para coletividades sadias e enfermas;Métodos de avaliação alimentar e nutricional;;False
2;12;Guia alimentar para a população brasileira e guia alimentar para menores de 2 anos;Planejamento e prescrição dietética;;True
3;13;Segurança alimentar e nutricional;;;False
4;14;Segurança alimentar e nutricional;Sistemas alimentares e sustentabilidade;;True
5;15;Epidemiologia e vigilância alimentar e nutricional;;;False
6;16;Sistema Único de Saúde (SUS) e políticas públicas de alimentação e de nutrição;Epidemiologia e vigilância alimentar e nutricional;;True
7;17;Biodisponibilidade de nutrientes e propriedades de compostos bioativos;Planejamento e prescrição dietética;;True
8;18;Técnica dietética e análise sensorial;Planejamento e prescrição dietética;;True
9;19;Técnica dietética e análise sensorial;Sistemas alimentares e sustentabilidade;;True
10;20;Técnica dietética e análise sensorial;;;True
11;21;Técnica dietética e análise sensorial;;;True
12;22;Planejamento e prescrição dietética;Fisiopatologia e dietoterapia nas diferentes enfermidades;;False
13;23;Planejamento e prescrição dietética;Fisiopatologia e dietoterapia nas diferentes enfermidades;;False
14;24;Necessidades e recomendações nutricionais nas diferentes fases da vida;Planejamento e prescrição dietética;;True
15;25;Métodos de avaliação alimentar e nutricional;Fisiopatologia e dietoterapia nas diferentes enfermidades;;True
16;26;Controle higiênicosanitário dos alimentos;Gestão de materiais, financeira e de pessoas na produção de refeições;;True
17;27;Rotulagem nutricional de alimentos;;;True
18;28;Gestão de materiais, financeira e de pessoas na produção de refeições;Planejamento e avaliação de cardápios para coletividades sadias e enfermas;;True
19;29;Código de ética e conduta do nutricionista;;;True
20;30;Planejamento e prescrição dietética;Fisiopatologia e dietoterapia nas diferentes enfermidades;;False
21;31;Necessidades e recomendações nutricionais nas diferentes fases da vida;Planejamento e prescrição dietética;;True
22;32;Bioquímica nutricional;Planejamento e prescrição dietética;;True
23;33;Gestão de materiais, financeira e de pessoas na produção de refeições;;;True
24;34; Planejamento físico e funcional de serviços de alimentação;Controle higiênicosanitário dos alimentos;;True
25;35;Planejamento físico e funcional de serviços de alimentação;Controle higiênicosanitário dos alimentos;Sistemas alimentares e sustentabilidade;True
26;36;Gestão de materiais, financeira e de pessoas na produção de refeições;;;True
27;37;Indicadores de qualidade na produção de refeições;Gestão de materiais, financeira e de pessoas na produção de refeições;;True
28;38;Gestão de materiais, financeira e de pessoas na produção de refeições;;;True
