;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;10;Bases moleculares e celulares dos processos normais e alterados relacionados ao processo saúdedoença;Atendimento clínico a indivíduos com necessidades especiais;;True
1;11;Terapêutica medicamentosa;Propedêutica clínica;;True
2;12;Determinantes sociais, culturais, comportamentais, psicológicos e ecológicos nos níveis individual e coletivo, do processo de saúdedoença;Clínica odontológica integrada da infância e da adolescência;;True
3;13;Terapêutica medicamentosa;Atendimento clínico a indivíduos com necessidades especiais;;True
4;14;Determinantes sociais, culturais, comportamentais, psicológicos e ecológicos nos níveis individual e coletivo, do processo de saúdedoença;Aspectos éticos, bioéticos e legais no exercício profissional;;True
5;15;Determinantes sociais, culturais, comportamentais, psicológicos e ecológicos nos níveis individual e coletivo, do processo de saúdedoença;Saúde coletiva;;True
6;16;Determinantes sociais, culturais, comportamentais, psicológicos e ecológicos nos níveis individual e coletivo, do processo de saúdedoença;Saúde coletiva;;True
7;17;Determinantes sociais, culturais, comportamentais, psicológicos e ecológicos nos níveis individual e coletivo, do processo de saúdedoença;Saúde coletiva;;False
8;18;Determinantes sociais, culturais, comportamentais, psicológicos e ecológicos nos níveis individual e coletivo, do processo de saúdedoença;Aspectos éticos, bioéticos e legais no exercício profissional;;True
9;19;Morfofisiologia dos tecidos, órgãos, sistemas e aparelhos relacionados ao processo saúdedoença;Clínica odontológica integrada do adulto;;True
10;20;Morfofisiologia dos tecidos, órgãos, sistemas e aparelhos relacionados ao processo saúdedoença;Clínica odontológica integrada da infância e da adolescência;;False
11;21;Atendimento clínico a indivíduos com necessidades especiais;Terapêutica medicamentosa;;True
12;22;Bases moleculares e celulares dos processos normais e alterados relacionados ao processo saúdedoença;Atendimento clínico a indivíduos com necessidades especiais;;True
13;23;Terapêutica medicamentosa;Urgências odontológicas e emergências médicas em odontologia;;True
14;24;Morfofisiologia dos tecidos, órgãos, sistemas e aparelhos relacionados ao processo saúdedoença;Propedêutica clínica;;True
15;25;Morfofisiologia dos tecidos, órgãos, sistemas e aparelhos relacionados ao processo saúdedoença;Clínica odontológica integrada do adulto;;True
16;26;Urgências odontológicas e emergências médicas em odontologia;Clínica odontológica integrada da infância e da adolescência;;False
17;27;Propedêutica clínica;Urgências odontológicas e emergências médicas em odontologia;;True
18;28;Determinantes sociais, culturais, comportamentais, psicológicos e ecológicos nos níveis individual e coletivo, do processo de saúdedoença;Clínica odontológica integrada da infância e da adolescência;;True
19;29;Clínica odontológica integrada da infância e da adolescência;;;True
20;30;Biossegurança;Urgências odontológicas e emergências médicas em odontologia;;True
21;31;Propedêutica clínica;Clínica odontológica integrada do adulto;;True
22;32;Saúde coletiva;;;False
23;33;Determinantes sociais, culturais, comportamentais, psicológicos e ecológicos nos níveis individual e coletivo, do processo de saúdedoença;Saúde coletiva;;True
24;34;Clínica odontológica integrada do adulto;Saúde coletiva;;False
25;35;Propedêutica clínica;Tecnologia e inovação;;True
26;36;Clínica odontológica integrada da infância e da adolescência;;;True
27;37;Determinantes sociais, culturais, comportamentais, psicológicos e ecológicos nos níveis individual e coletivo, do processo de saúdedoença;Clínica odontológica integrada do adulto;;True
28;38;Aspectos éticos, bioéticos e legais no exercício profissional;Gestão e empreendedorismo;;True
