CO_CURSO;SIGLA_IES;CO_IES;CO_GRUPO;NOME_CURSO;CO_MUNIC_CURSO;NOME_MUNIC_CURSO;CO_UF_CURSO
3;UFMT;1;5710;Engenharia Civil;5103403;CUIABA;51
9;UFMT;1;17;Agronomia;5103403;CUIABA;51
10;UFMT;1;6405;Engenharia Florestal;5103403;CUIABA;51
12;UFMT;1;12;Medicina;5103403;CUIABA;51
16;UFMT;1;5806;Engenharia Elétrica;5103403;CUIABA;51
17;UFMT;1;23;Enfermagem;5103403;CUIABA;51
20;UFMT;1;28;Nutrição;5103403;CUIABA;51
37;UFMT;1;5;Medicina Veterinária;5103403;CUIABA;51
44;UFMT;1;21;Arquitetura e Urbanismo;5103403;CUIABA;51
132;UNB;2;21;Arquitetura e Urbanismo;5300108;BRASILIA;53
135;UNB;2;17;Agronomia;5300108;BRASILIA;53
136;UNB;2;5710;Engenharia Civil;5300108;BRASILIA;53
137;UNB;2;5806;Engenharia Elétrica;5300108;BRASILIA;53
138;UNB;2;5902;Engenharia Mecânica;5300108;BRASILIA;53
139;UNB;2;6405;Engenharia Florestal;5300108;BRASILIA;53
140;UNB;2;12;Medicina;5300108;BRASILIA;53
141;UNB;2;6;Odontologia;5300108;BRASILIA;53
143;UNB;2;23;Enfermagem;5300108;BRASILIA;53
144;UNB;2;28;Nutrição;5300108;BRASILIA;53
294;UFS;3;5710;Engenharia Civil;2806701;SAO CRISTOVAO;28
295;UFS;3;6008;Engenharia Química;2806701;SAO CRISTOVAO;28
302;UFS;3;23;Enfermagem;2800308;ARACAJU;28
303;UFS;3;12;Medicina;2800308;ARACAJU;28
304;UFS;3;6;Odontologia;2800308;ARACAJU;28
319;UFS;3;17;Agronomia;2806701;SAO CRISTOVAO;28
383;UFAM;4;5710;Engenharia Civil;1302603;MANAUS;13
385;UFAM;4;6405;Engenharia Florestal;1302603;MANAUS;13
389;UFAM;4;12;Medicina;1302603;MANAUS;13
390;UFAM;4;19;Farmácia;1302603;MANAUS;13
391;UFAM;4;6;Odontologia;1302603;MANAUS;13
399;UFAM;4;17;Agronomia;1302603;MANAUS;13
484;UFPI;5;12;Medicina;2211001;TERESINA;22
485;UFPI;5;6;Odontologia;2211001;TERESINA;22
